id met_invertebrate met_primary_producer mov_swimming mov_other mov_walking mov_sessile log_mass
0 0 1 0 0 0 1 -3.642065152999546
1 1 0 0 0 1 0 -0.744727494896694
2 1 0 1 0 0 0 -3.0
3 1 0 1 0 0 0 -2.8860566476931635
4 1 0 0 0 1 0 -0.638272163982407
5 1 0 1 0 0 0 -3.5228787452803374
6 1 0 0 0 1 0 -2.0
7 1 0 0 0 1 0 0.37474834601010387
8 1 0 1 0 0 0 -0.8860566476931634
9 0 1 0 0 0 1 -3.642065152999546
10 0 1 0 0 0 1 -3.642065152999546
11 0 1 0 0 0 1 -3.642065152999546
12 0 1 0 1 0 0 -4.0
13 1 0 1 0 0 0 -3.0
14 1 0 0 0 1 0 -3.3979400086720375
15 0 1 0 0 0 1 -3.642065152999546
16 0 1 0 0 0 1 -3.642065152999546
