id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 1 0 0 0 1 0 -3.642065152999546
1 1 0 0 0 0 0 1 -2.0
2 1 0 0 0 0 0 1 -2.0
3 1 0 0 0 0 0 1 -1.0
4 1 0 0 0 0 0 1 -0.2924298239020637
5 1 0 0 0 0 0 1 0.08278537031645007
6 0 0 1 1 0 0 0 -2.0
7 1 0 0 1 0 0 0 -2.0
8 1 0 0 0 0 0 1 -2.0
9 0 1 0 0 0 1 0 -3.642065152999546
10 1 0 0 1 0 0 0 -3.0
11 0 1 0 0 0 1 0 -3.642065152999546
12 0 1 0 0 0 1 0 -3.642065152999546
13 0 1 0 0 1 0 0 -4.0
14 1 0 0 1 0 0 0 -3.0
15 1 0 0 0 0 0 1 -2.0
16 0 1 0 0 0 1 0 -3.642065152999546
17 1 0 0 0 0 1 0 -2.0
