id met_invertebrate met_primary_producer mov_walking mov_other mov_sessile mov_swimming log_mass
0 0 1 0 0 1 0 -3.642065152999546
1 1 0 1 0 0 0 1.9025087293196203
2 1 0 0 0 0 1 -0.8230410194130917
3 1 0 1 0 0 0 0.3785432471616439
4 1 0 1 0 0 0 -0.9186526921958675
5 1 0 1 0 0 0 -1.2055119533408303
6 1 0 1 0 0 0 -1.453457336521869
7 1 0 1 0 0 0 0.2059618230596338
8 1 0 1 0 0 0 -0.4203307064452796
9 0 1 0 0 1 0 -3.642065152999546
10 0 1 0 0 1 0 -3.6989700043360187
11 0 1 0 0 1 0 -3.642065152999546
12 1 0 1 0 0 0 -2.1804560644581312
13 1 0 1 0 0 0 -1.9706162223147903
14 1 0 0 0 1 0 -3.6989700043360187
15 1 0 1 0 0 0 -3.6989700043360187
16 0 1 0 0 1 0 -3.642065152999546
17 1 0 0 0 1 0 -0.5893914574316321
18 0 1 0 0 1 0 -3.642065152999546
19 1 0 0 0 1 0 0.20749972330730537
20 0 1 0 1 0 0 -4.0
21 1 0 0 0 0 1 -3.0
22 0 1 0 0 1 0 -3.642065152999546
23 0 1 0 0 1 0 -3.642065152999546
24 0 1 0 0 1 0 -3.642065152999546
25 0 1 0 0 1 0 -3.642065152999546
26 0 1 0 0 1 0 -3.642065152999546
