id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.6420651529995465
1 1 0 0 0 1 0 -0.678194516142461
2 1 0 0 0 1 0 -2.5850266520291822
3 1 0 0 0 0 1 -1.8068754016455384
4 1 0 0 0 0 1 -1.140861702705469
5 1 0 0 0 0 1 -1.1414628024303608
6 1 0 0 0 0 1 -2.0
7 1 0 0 0 0 1 -0.34418950550474775
8 0 1 1 0 0 0 -3.6420651529995465
9 0 1 1 0 0 0 -3.6420651529995465
10 0 1 1 0 0 0 -3.6989700043360187
11 0 1 1 0 0 0 -3.6420651529995465
12 0 1 1 0 0 0 -3.6420651529995465
13 0 1 0 1 0 0 -4.0
14 1 0 1 0 0 0 0.409662661244457
15 1 0 0 0 1 0 -3.0
16 0 1 1 0 0 0 -3.6420651529995465
17 0 1 1 0 0 0 -3.6420651529995465
18 0 1 1 0 0 0 -3.6420651529995465
19 1 0 1 0 0 0 -0.45333397492981575
20 1 0 1 0 0 0 -1.1180450286603996
