id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 1 0 0 0 0 0 1 -2.214670164989233
1 0 0 1 0 0 1 0 0.13033376849500614
2 0 0 1 0 0 1 0 -0.431798275933005
3 1 0 0 0 0 0 1 -0.04963514562387698
4 1 0 0 1 0 0 0 -2.0
5 1 0 0 0 0 0 1 -3.0969100130080562
6 1 0 0 0 0 0 1 -3.6989700043360187
7 1 0 0 0 0 1 0 -3.6989700043360187
8 0 1 0 1 0 0 0 -3.642065152999546
9 1 0 0 0 0 0 1 -3.6989700043360187
10 1 0 0 0 0 1 0 -3.0
11 1 0 0 0 0 0 1 -3.0457574905606752
12 1 0 0 0 0 0 1 -3.3010299956639813
13 1 0 0 0 0 0 1 0.8407332346118067
14 0 1 0 1 0 0 0 -3.642065152999546
15 0 1 0 1 0 0 0 -3.642065152999546
16 1 0 0 0 0 0 1 -2.0
17 1 0 0 0 0 0 1 -2.853871964321762
18 0 1 0 1 0 0 0 -3.642065152999546
19 0 1 0 0 1 0 0 -4.0
20 1 0 0 1 0 0 0 -2.9208187539523753
21 1 0 0 0 0 1 0 -3.0
22 1 0 0 0 0 0 1 -3.0
23 1 0 0 0 0 0 1 -1.6575773191777938
24 0 1 0 1 0 0 0 -3.642065152999546
25 0 1 0 1 0 0 0 -3.642065152999546
26 0 1 0 1 0 0 0 -3.642065152999546
27 0 1 0 1 0 0 0 -3.642065152999546
