id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_walking mov_sessile mov_other log_mass
0 0 1 0 0 0 1 0 -2.0
1 0 1 0 0 1 0 0 -3.0969100130080562
2 0 1 0 1 0 0 0 -3.0
3 1 0 0 1 0 0 0 -0.9393021596463883
4 0 1 0 1 0 0 0 -3.3010299956639813
5 0 1 0 0 1 0 0 -2.136677139879544
6 0 1 0 0 1 0 0 -3.154901959985743
7 0 1 0 0 1 0 0 -2.0
8 0 1 0 0 1 0 0 -3.3010299956639813
9 0 0 1 0 0 1 0 -3.642065152999546
10 0 1 0 1 0 0 0 -3.6989700043360187
11 0 1 0 0 1 0 0 -2.0
12 0 0 1 0 0 0 1 -4.0
13 0 1 0 1 0 0 0 -3.0
14 0 1 0 0 1 0 0 -3.0969100130080562
15 0 0 1 0 0 1 0 -3.642065152999546
