id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 0 0 1 0 0 0 1 -3.642065152999546
1 1 0 0 1 0 0 0 -0.3279021420642826
2 0 1 0 1 0 0 0 -3.5228787452803374
3 0 1 0 0 1 0 0 -3.3010299956639813
4 1 0 0 1 0 0 0 0.004321373782642578
5 0 1 0 0 1 0 0 -3.3010299956639813
6 0 1 0 0 1 0 0 -0.46852108295774486
7 1 0 0 1 0 0 0 -0.5376020021010439
8 0 1 0 0 1 0 0 -2.958607314841775
9 0 0 1 0 0 0 1 -3.642065152999546
10 0 0 1 0 0 0 1 -3.642065152999546
11 0 0 1 0 0 0 1 -3.642065152999546
12 0 1 0 1 0 0 0 -2.5228787452803374
13 0 1 0 0 1 0 0 -2.9208187539523753
14 0 0 1 0 0 0 1 -3.642065152999546
15 0 0 1 0 0 1 0 -4.0
16 0 1 0 1 0 0 0 -3.0
17 0 1 0 0 1 0 0 -3.0
18 0 0 1 0 0 0 1 -3.642065152999546
19 0 0 1 0 0 0 1 -3.642065152999546
20 0 0 1 0 0 0 1 -3.642065152999546
