id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 1 0 0 0 1 0 0 -1.443697499232713
1 1 0 0 0 1 0 0 -0.812479279163537
2 0 1 0 1 0 0 0 -0.6020599913279624
3 0 1 0 1 0 0 0 -0.44369749923271284
4 0 1 0 1 0 0 0 -0.4685210829577449
5 1 0 0 1 0 0 0 -2.42021640338319
6 1 0 0 0 0 0 1 -0.39794000867203755
7 1 0 0 1 0 0 0 0.004321373782642578
8 1 0 0 1 0 0 0 -0.9281179926938746
9 0 0 1 0 0 0 1 -3.642065152999546
10 1 0 0 0 1 0 0 -2.5850266520291822
11 1 0 0 1 0 0 0 -2.721246399047171
12 1 0 0 0 1 0 0 -0.6675615400843948
13 1 0 0 0 1 0 0 -2.8239087409443187
14 1 0 0 1 0 0 0 -3.2218487496163566
15 1 0 0 0 1 0 0 -2.6989700043360187
16 1 0 0 0 1 0 0 0.06069784035361173
17 1 0 0 0 1 0 0 -3.154901959985743
18 1 0 0 0 1 0 0 -2.214670164989233
19 1 0 0 0 1 0 0 0.9014583213961124
20 1 0 0 0 1 0 0 0.8221680793680174
21 1 0 0 0 1 0 0 -2.0457574905606752
22 1 0 0 0 1 0 0 -2.721246399047171
23 1 0 0 1 0 0 0 -2.9208187539523753
24 1 0 0 0 1 0 0 -3.0457574905606752
25 1 0 0 0 1 0 0 -2.0222763947111524
26 1 0 0 0 0 0 1 1.53567380342575
27 1 0 0 0 0 0 1 -2.795880017344075
28 0 0 1 0 0 0 1 -3.642065152999546
29 0 0 1 0 0 0 1 -3.642065152999546
30 0 0 1 0 0 0 1 -3.642065152999546
31 0 0 1 0 0 0 1 -3.642065152999546
32 0 0 1 0 0 0 1 -3.642065152999546
33 1 0 0 0 1 0 0 -0.9586073148417749
34 1 0 0 0 1 0 0 -2.8860566476931635
35 0 0 1 0 0 0 1 -3.642065152999546
36 0 0 1 0 0 0 1 -3.642065152999546
37 1 0 0 0 0 0 1 -1.75448733218585
38 1 0 0 0 1 0 0 -2.193820026016113
39 1 0 0 0 0 0 1 -2.1249387366083
40 1 0 0 0 0 0 1 -0.575118363368933
41 1 0 0 0 1 0 0 -2.0
42 1 0 0 0 1 0 0 -2.769551078621726
43 1 0 0 0 0 0 1 -2.0
44 0 0 1 0 0 1 0 -4.0
45 1 0 0 0 0 0 1 -2.6989700043360187
46 1 0 0 0 0 0 1 -3.0
47 1 0 0 1 0 0 0 -3.0
48 1 0 0 0 1 0 0 -2.283996656365201
49 0 0 1 0 0 0 1 -3.642065152999546
50 0 0 1 0 0 0 1 -3.642065152999546
51 1 0 0 0 0 0 1 -2.0
