id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -4.396855627379818 0
1 0 0 1 0 1 0 0 -4.649751981665837 0
2 0 0 1 0 1 0 0 -5.0 0
3 1 0 0 0 1 0 0 1.0 0
4 1 0 0 0 1 0 0 0.7781512503836436 0
5 1 0 0 0 1 0 0 1.8260748027008264 0
6 0 0 1 0 1 0 0 -5.164309428507575 0
7 1 0 0 0 1 0 0 -1.795880017344075 0
8 0 0 0 1 0 0 1 -10.258848401148216 0
9 0 0 1 0 1 0 0 -5.0 0
10 0 0 1 0 1 0 0 -4.841637507904751 0
11 0 0 1 0 1 0 0 -4.166215625343521 0
12 0 0 0 1 0 0 1 -10.258848401148216 0
13 0 0 0 1 0 0 1 -9.621602099051863 0
14 0 0 0 1 0 0 1 -9.290730039024169 0
15 1 0 0 0 1 0 0 0.36172783601759284 0
16 0 0 1 0 1 0 0 -5.809668301829708 0
17 0 0 1 0 1 0 0 -2.341035157335565 0
18 1 0 0 0 1 0 0 2.531478917042255 0
19 1 0 0 0 1 0 0 2.6989700043360187 0
20 1 0 0 0 1 0 0 2.2576785748691846 0
21 0 0 1 0 1 0 0 -6.497572880015567 0
22 0 0 0 1 0 0 1 -10.323306390375134 0
23 0 0 1 0 1 0 0 -4.396855627379818 0
24 0 0 1 0 1 0 0 -5.910094888560602 0
25 0 0 1 0 1 0 0 -6.068033885271827 0
26 0 0 1 0 1 0 0 -7.698970004336019 0
27 0 0 1 0 1 0 0 -7.698970004336019 0
28 0 0 1 0 1 0 0 -8.0 0
29 0 0 1 0 1 0 0 -8.0 0
30 0 0 1 0 1 0 0 -6.068033885271827 0
31 0 0 1 0 1 0 0 -6.701146923590294 0
32 0 0 1 0 1 0 0 -2.7417564900754847 0
33 0 0 0 1 0 0 1 -10.323306390375134 0
34 0 0 0 1 0 0 1 -9.146301788223825 0
35 0 0 0 1 0 0 1 -8.866461091629782 0
36 0 0 0 1 0 0 1 -9.707743928643524 0
37 0 0 0 1 0 0 1 -8.027334407733889 0
38 0 0 0 1 0 0 1 -8.247951552180561 0
39 0 0 0 1 0 0 1 -7.064996848546345 0
40 0 0 0 1 0 0 1 -9.308918507877031 0
41 0 0 0 1 1 0 0 -7.251811972993799 0
42 0 0 0 1 1 0 0 -7.251811972993799 0
43 0 0 0 1 0 0 1 -9.79317412396815 0
44 0 0 0 1 0 0 1 -9.059483515067432 0
45 0 0 0 1 0 0 1 -8.410050398674292 0
46 0 0 0 1 1 0 0 -9.79317412396815 0
47 0 0 0 1 0 0 1 -8.97061622231479 0
48 0 1 0 0 0 1 0 -10.323306390375134 1
49 1 0 0 0 0 0 1 -1.6968039425795112 0
