id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.809668301829708 0
1 0 0 1 0 1 0 0 -4.649751981665837 0
2 1 0 0 0 1 0 0 0.8260748027008264 0
3 0 0 1 0 1 0 0 -5.0 0
4 0 0 1 0 1 0 0 -5.164309428507575 0
5 1 0 0 0 1 0 0 -1.7958800173440752 0
6 0 0 0 1 0 0 1 -10.438898616350944 0
7 0 0 1 0 1 0 0 -4.236572006437063 0
8 0 0 1 0 1 0 0 -4.841637507904751 0
9 0 0 1 0 1 0 0 -4.166215625343521 0
10 1 0 0 0 1 0 0 2.2600713879850747 0
11 1 0 0 0 1 0 0 2.45484486000851 0
12 0 0 1 0 1 0 0 -5.73754891026957 0
13 0 0 1 0 1 0 0 -6.497572880015567 0
14 0 0 0 1 0 0 1 -10.323306390375134 0
15 0 0 1 0 1 0 0 -5.0 0
16 0 0 1 0 1 0 0 -6.068033885271827 0
17 0 0 1 0 1 0 0 -7.698970004336019 0
18 0 0 1 0 1 0 0 -7.698970004336019 0
19 0 0 1 0 1 0 0 -8.0 0
20 0 0 1 0 1 0 0 -5.723538195826756 0
21 0 0 1 0 1 0 0 -8.0 0
22 0 0 1 0 1 0 0 -8.0 0
23 0 0 1 0 1 0 0 -2.7417564900754847 0
24 0 0 0 1 0 0 1 -10.323306390375134 0
25 0 0 0 1 0 0 1 -8.866461091629782 0
26 0 0 0 1 0 0 1 -8.866461091629782 0
27 0 0 0 1 0 0 1 -8.027334407733889 0
28 1 0 0 0 1 0 0 1.0 0
29 0 0 0 1 0 0 1 -8.247951552180561 0
30 0 0 0 1 0 0 1 -9.236572006437063 0
31 0 0 0 1 0 0 1 -10.61798295742513 0
32 0 0 0 1 0 0 1 -7.064996848546345 0
33 0 0 0 1 1 0 0 -7.251811972993799 0
34 0 0 0 1 1 0 0 -7.251811972993799 0
35 0 0 0 1 0 0 1 -9.79317412396815 0
36 0 0 0 1 0 0 1 -9.19586056766465 0
37 0 0 0 1 0 0 1 -8.410050398674292 0
38 0 0 0 1 0 0 1 -8.97061622231479 0
39 0 0 0 1 1 0 0 -10.319664486585436 0
40 0 1 0 0 0 1 0 -10.61798295742513 1
41 1 0 0 0 0 0 1 -1.6968039425795112 0
