id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -4.301029995663981 0
1 1 0 0 0 0 1 0 0 0 -2.3491210804339073 0
2 1 0 0 0 0 1 0 0 0 -2.3601067991763953 0
3 1 0 0 0 0 1 0 0 0 -3.259647575769373 0
4 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
5 1 0 0 0 0 1 0 0 0 -2.4398882402125754 0
6 1 0 0 0 0 1 0 0 0 -2.211964130106118 0
7 1 0 0 0 0 1 0 0 0 -2.1759224164714857 0
8 1 0 0 0 0 1 0 0 0 -2.3044448674097318 0
9 1 0 0 0 0 1 0 0 0 -2.3413373637942554 0
10 1 0 0 0 0 1 0 0 0 -2.001600890083601 0
11 1 0 0 0 0 1 0 0 0 -2.224247674090414 0
12 1 0 0 0 0 1 0 0 0 -2.075893638925886 0
13 1 0 0 0 0 1 0 0 0 -1.3220182650945391 0
14 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
15 1 0 0 0 0 1 0 0 0 -1.4691805998029555 0
16 1 0 0 0 0 1 0 0 0 -2.416622442366439 0
17 1 0 0 0 0 1 0 0 0 -2.874855890668581 0
18 1 0 0 0 0 1 0 0 0 -2.639712820871053 0
19 1 0 0 0 0 1 0 0 0 -2.729734231071674 0
20 1 0 0 0 0 1 0 0 0 -2.8098955953783515 0
21 1 0 0 0 0 1 0 0 0 -2.794924264748693 0
22 1 0 0 0 0 1 0 0 0 -2.554049744336224 0
23 1 0 0 0 0 1 0 0 0 -4.991399828238083 0
24 1 0 0 0 0 1 0 0 0 -4.785156151952302 0
25 1 0 0 0 0 1 0 0 0 -3.756389060622321 0
26 1 0 0 0 0 1 0 0 0 -4.673664139071248 0
27 1 0 0 0 0 1 0 0 0 -4.345823458122039 0
28 1 0 0 0 0 1 0 0 0 -4.954677021213342 0
