id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_floating log_mass
0 0 0 1 0 1 -9.290730039024169
1 0 1 0 1 0 -5.0
2 0 1 0 1 0 -4.995678626217358
3 0 1 0 1 0 -4.841637507904751
4 0 1 0 1 0 -4.166215625343521
5 1 0 0 1 0 1.863322860120456
6 1 0 0 1 0 -1.795880017344075
7 0 1 0 1 0 -5.809668301829708
8 0 1 0 1 0 -3.9136401693252516
9 0 1 0 1 0 -5.0
10 0 1 0 1 0 -5.164309428507575
11 1 0 0 1 0 2.0969100130080562
12 1 0 0 1 0 2.678518379040114
13 0 0 1 0 1 -9.45717457304082
14 0 0 1 0 1 -10.08460016478773
15 0 0 1 0 1 -10.323306390375134
16 0 1 0 1 0 -4.396855627379818
17 0 1 0 1 0 -7.698970004336019
18 0 1 0 1 0 -5.723538195826756
19 0 1 0 1 0 -8.0
20 0 1 0 1 0 -2.7417564900754847
21 0 0 1 0 1 -10.323306390375134
22 0 0 1 0 1 -9.146301788223825
23 0 0 1 0 1 -8.866461091629782
24 0 0 1 0 1 -8.866461091629782
25 0 0 1 0 1 -9.707743928643524
26 0 0 1 0 1 -8.027334407733889
27 0 0 1 0 1 -8.247951552180561
28 0 0 1 0 1 -9.236572006437063
29 0 0 1 0 1 -10.61798295742513
30 0 0 1 0 1 -7.064996848546345
31 0 0 1 1 0 -7.251811972993799
32 0 0 1 1 0 -7.251811972993799
33 0 0 1 0 1 -10.114638779968487
34 0 0 1 0 1 -9.79317412396815
35 0 0 1 0 1 -9.79317412396815
36 0 0 1 0 1 -9.19586056766465
37 0 0 1 0 1 -8.954677021213342
38 0 0 1 0 1 -9.441291429466835
39 0 0 1 0 1 -9.153662887870194
40 1 0 0 0 1 -1.6968039425795112
