id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_floating log_mass
0 0 1 0 0 1 -9.8153085691824
1 1 0 0 1 0 -4.866461091629782
2 1 0 0 1 0 -7.0
3 1 0 0 1 0 -6.3979400086720375
4 1 0 0 1 0 -3.6777807052660805
5 1 0 0 1 0 -4.61261017366127
6 1 0 0 1 0 -4.341035157335565
7 1 0 0 1 0 -4.492144128304169
8 0 0 1 1 0 2.290034611362518
9 0 1 0 0 1 -10.518557371497694
10 1 0 0 1 0 -6.795880017344075
11 1 0 0 1 0 -4.835647144215563
12 1 0 0 1 0 -4.84163750790475
13 1 0 0 1 0 -6.8696662315049934
14 1 0 0 1 0 -4.310691140876379
15 1 0 0 1 0 -7.698970004336019
16 1 0 0 1 0 -7.346787486224656
17 1 0 0 1 0 -8.0
18 1 0 0 1 0 -7.823908740944319
19 1 0 0 1 0 -6.585026652029182
20 1 0 0 1 0 -6.431798275933005
21 1 0 0 1 0 -6.229147988357855
22 1 0 0 1 0 -7.154901959985743
23 0 1 0 0 1 -9.621602099051863
24 0 1 0 0 1 -8.882728704344236
25 0 1 0 0 1 -9.703334809738468
26 1 0 0 1 0 -5.048176964684088
27 0 1 0 0 1 -8.430626090384955
28 0 1 0 0 1 -9.692503962086787
29 0 1 0 0 1 -9.172630726946174
30 0 1 0 0 1 -8.785156151952302
31 0 1 0 0 1 -9.87942606879415
32 0 1 0 0 1 -9.39040559077478
33 0 1 0 0 1 -8.276544327964814
34 0 1 0 0 1 -8.348721986001856
35 0 1 0 0 1 -8.202040356262804
36 0 1 0 0 1 -8.2839966563652
37 0 1 0 0 1 -7.024108863598207
38 0 1 0 0 1 -7.790484985457369
39 0 1 0 0 1 -8.413412695328246
40 0 1 0 0 1 -8.199282921717614
41 0 1 0 0 1 -8.79317412396815
42 0 1 0 1 0 -7.189767482004916
43 0 1 0 0 1 -8.801342913045577
44 0 1 0 0 1 -8.146910470148134
45 0 1 0 0 1 -9.023191662661933
46 0 1 0 0 1 -9.19586056766465
47 0 1 0 0 1 -9.5654310959658
48 0 1 0 0 1 -7.966576244513051
49 0 1 0 0 1 -9.441291429466835
50 0 1 0 0 1 -9.991399828238082
