id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_walking mov_sessile log_mass
0 1 0 0 0 0 1 0 -2.309803919971486
1 1 0 0 0 0 0 1 -2.0
2 0 0 1 1 0 0 0 -2.0
3 1 0 0 0 0 1 0 -2.5228787452803374
4 1 0 0 0 0 1 0 -2.0
5 1 0 0 0 0 1 0 -1.869666231504994
6 1 0 0 0 0 1 0 -2.0
7 1 0 0 0 0 1 0 -2.3467874862246565
8 0 0 1 1 0 0 0 -1.9999999999999998
9 1 0 0 0 0 0 1 -2.1307682802690238
10 1 0 0 0 0 1 0 -2.0
11 0 1 0 0 0 0 1 -3.642065152999546
12 1 0 0 1 0 0 0 -2.8860566476931635
13 1 0 0 0 0 1 0 -0.48188105285684707
14 1 0 0 0 0 1 0 -4.0
15 1 0 0 1 0 0 0 -3.0
16 1 0 0 1 0 0 0 -4.0
17 1 0 0 0 0 1 0 -3.6989700043360187
18 1 0 0 0 0 1 0 -2.1249387366083
19 1 0 0 0 0 1 0 -3.6989700043360187
20 1 0 0 1 0 0 0 -3.0
21 1 0 0 0 0 1 0 -2.0
22 1 0 0 1 0 0 0 -2.677780705266081
23 1 0 0 0 0 1 0 -2.886056647693163
24 0 1 0 0 0 0 1 -3.642065152999546
25 1 0 0 0 0 1 0 -2.0
26 0 1 0 0 0 0 1 -3.642065152999546
27 0 1 0 0 0 0 1 -3.642065152999546
28 1 0 0 0 1 0 1 -1.3106911408763797
29 0 1 0 0 1 0 0 -4.0
30 1 0 0 0 0 0 1 -1.6716203965612624
31 1 0 0 1 0 0 0 -3.0
32 0 1 0 0 0 0 1 -3.642065152999546
33 0 1 0 0 0 0 1 -3.642065152999546
34 0 1 0 0 0 0 1 -3.642065152999546
