id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -9.821023052706831 0
1 0 0 1 0 1 0 0 -4.841637507904751 0
2 0 0 1 0 1 0 0 -4.166215625343521 0
3 0 0 1 0 1 0 0 -5.809668301829708 0
4 1 0 0 0 1 0 0 0.2787536009528289 0
5 1 0 0 0 1 0 0 0.3010299956639812 0
6 0 0 1 0 1 0 0 -5.0 0
7 1 0 0 0 1 0 0 0.9030899869919435 0
8 1 0 0 0 1 0 0 1.041392685158225 0
9 0 0 1 0 1 0 0 -5.164309428507575 0
10 1 0 0 0 1 0 0 -1.795880017344075 0
11 1 0 0 0 1 0 0 1.9867717342662448 0
12 1 0 0 0 1 0 0 2.4771212547196626 0
13 0 0 1 0 1 0 0 -5.23284413391782 0
14 0 0 0 1 0 0 1 -9.45717457304082 0
15 0 0 1 0 1 0 0 -5.0 0
16 0 0 1 0 1 0 0 -4.396855627379818 0
17 0 0 0 1 0 0 1 -8.866461091629782 0
18 0 0 1 0 1 0 0 -6.068033885271827 0
19 1 0 0 0 1 0 0 1.462397997898956 0
20 0 0 1 0 1 0 0 -8.0 0
21 0 0 0 1 0 0 1 -8.247951552180561 0
22 0 0 0 1 0 0 1 -7.064996848546345 0
23 0 0 0 1 1 0 0 -7.251811972993799 0
24 0 0 1 0 1 0 0 -6.068033885271827 0
25 0 0 1 0 1 0 0 -6.701146923590294 0
26 0 0 0 1 0 0 1 -8.954677021213342 0
27 0 0 0 1 1 0 0 -9.79317412396815 0
28 0 0 0 1 0 0 1 -9.153662887870194 0
29 0 1 0 0 0 1 0 -9.821023052706831 1
30 0 0 1 0 1 0 0 -2.7417564900754847 0
31 1 0 0 0 0 0 1 -1.6968039425795112 0
