id met_endotherm_vertebrate met_ectotherm_vertebrate met_invertebrate met_primary_producer met_detritus mov_swimming mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 0 0 1 0 0 0 1 0 0 0 -4.361510743045363 0
1 0 1 0 0 0 1 0 0 0 0 3.7926717891415676 0
2 1 0 0 0 0 1 0 0 0 0 3.0461047872460387 0
3 0 0 1 0 0 0 1 0 0 0 -3.0 0
4 0 1 0 0 0 1 0 0 0 0 2.0969100130080562 0
5 0 1 0 0 0 1 0 0 0 0 0.3010299956639812 0
6 1 0 0 0 0 0 1 0 0 0 3.0402066275747113 0
7 1 0 0 0 0 1 0 0 0 0 3.3521825181113627 0
8 1 0 0 0 0 0 1 0 0 0 2.361727836017593 0
9 1 0 0 0 0 0 1 0 0 0 2.100370545117563 0
10 1 0 0 0 0 0 1 0 0 0 2.041392685158225 0
11 0 1 0 0 0 1 0 0 0 0 1.9542425094393248 0
12 1 0 0 0 0 1 0 0 0 0 4.079181246047625 0
13 0 0 1 0 0 0 0 1 0 0 -0.7781512495150547 0
14 1 0 0 0 0 0 1 0 0 0 2.0681858617461617 0
15 0 0 1 0 0 0 0 1 0 0 -3.9030899869919438 0
16 0 0 1 0 0 1 0 0 0 0 -2.04139268950117 0
17 0 0 1 0 0 1 0 0 0 0 -5.166215625343521 0
18 0 1 0 0 0 1 0 0 0 0 0.6989700043360189 0
19 0 1 0 0 0 1 0 0 0 0 0.3010299956639812 0
20 0 1 0 0 0 1 0 0 0 0 1.1760912590556813 0
21 0 1 0 0 0 1 0 0 0 0 2.681241237375587 0
22 0 1 0 0 0 1 0 0 0 0 0.47712125471966244 0
23 0 1 0 0 0 1 0 0 0 0 0.3010299956639812 0
24 0 0 1 0 0 0 0 1 0 0 -3.3802108942761593 0
25 0 1 0 0 0 1 0 0 0 0 1.4313637641589874 0
26 0 1 0 0 0 1 0 0 0 0 0.17609125905568124 0
27 0 0 1 0 0 0 1 0 0 0 1.0 0
28 0 1 0 0 0 1 0 0 0 0 1.0 0
29 1 0 0 0 0 0 1 0 0 0 2.6875289612146345 0
30 1 0 0 0 0 0 1 0 0 0 2.649334858712142 0
31 0 0 1 0 0 1 0 0 0 0 0.354714854677257 0
32 1 0 0 0 0 1 1 0 0 0 2.9469432706978256 0
33 1 0 0 0 0 1 1 0 0 0 2.586587304671755 0
34 1 0 0 0 0 1 1 0 0 0 3.123851640967086 0
35 1 0 0 0 0 1 1 0 0 0 2.255272505103306 0
36 1 0 0 0 0 0 1 0 0 0 2.8603380065709936 0
37 0 1 0 0 0 1 0 0 0 0 1.9294189257142929 0
38 0 1 0 0 0 1 0 0 0 0 1.4313637641589874 0
39 0 1 0 0 0 1 0 0 0 0 2.0969100130080562 0
40 0 1 0 0 0 1 0 0 0 0 3.7926717891415676 0
41 1 0 0 0 0 1 0 0 0 0 3.3324384599156054 0
42 0 0 1 0 0 0 0 1 0 0 -0.3010299956639812 0
43 0 0 1 0 0 1 0 0 0 0 -3.9777242567310593 0
44 0 0 1 0 0 0 1 0 0 0 -2.04139268950117 0
