"","feature_name","coef_estimate","coef_std_error","coef_p_adjusted","model","metric","significance"
"1","log_num_nodes",0.0383275190839606,0.00236134135069555,0.0000000000000000000000000000000000000000369503852909166,"Full","ROC-AUC","****"
"2","cannibalistic_removal",-0.0378144813007796,0.00238988930745358,0.000000000000000000000000000000000000000596256995882209,"Full","ROC-AUC","****"
"3","mass_skewness",-0.0337188370054536,0.00259400179285761,0.00000000000000000000000000000792416323191175,"Full","ROC-AUC","****"
"4","unclassified_tax_frac",-0.0328646696995834,0.00263179075422964,0.000000000000000000000000000392557604989433,"Full","ROC-AUC","****"
"5","avg_degree",0.0311054554510373,0.00270500953541927,0.000000000000000000000000896664944240069,"Full","ROC-AUC","****"
"6","min_log_mass",-0.028136000727043,0.00281565124625611,0.0000000000000000000851345941666045,"Full","ROC-AUC","****"
"7","num_attr",0.0218733804779003,0.00300255830863086,0.00000000001018048874636,"Full","ROC-AUC","****"
"8","mean_log_mass",-0.0216720948007446,0.00300762210125297,0.0000000000146012623213723,"Full","ROC-AUC","****"
"9","median_log_mass",-0.0188829261668698,0.00307222238776417,0.00000000673477542223026,"Full","ROC-AUC","****"
"10","assort_mass",0.0181575240351324,0.00308736883251647,0.0000000259283958416093,"Full","ROC-AUC","****"
"11","assort_mov",0.0178998337335106,0.00309258935473475,0.0000000388643764918776,"Full","ROC-AUC","****"
"12","clustering_coefficient",0.0156423806299091,0.00313480868635738,0.00000200654772977723,"Full","ROC-AUC","****"
"13","deg_assort_oo",0.00991205223973805,0.00321488434871984,0.00397477501518574,"Full","ROC-AUC","**"
"14","assort_met",0.00762353949347834,0.00323648314220729,0.0314907237660292,"Full","ROC-AUC","*"
"15","connectance",-0.00723392501568136,0.00323958681385462,0.0378332002498836,"Full","ROC-AUC","*"
"16","modularity",-0.00729389221527386,0.0032391199036912,0.0378332002498836,"Full","ROC-AUC","*"
"17","deg_assort_io",0.00528096520223727,0.0032526585399493,0.14281451121986,"Full","ROC-AUC",""
"18","parasitic_removal",0.00391515193872734,0.00325935565861172,0.294730809624151,"Full","ROC-AUC",""
"19","deg_assort_oi",0.0034476465410215,0.00326118861953912,0.352647792797507,"Full","ROC-AUC",""
"20","miss_mass_frac",0.00332722773397404,0.00326162289795353,0.354810034251618,"Full","ROC-AUC",""
"21","deg_assort_ii",-0.00314200653169071,0.00326226063976323,0.363401287787317,"Full","ROC-AUC",""
"22","max_log_mass",0.0030693261105864,0.00326250087963781,0.363401287787317,"Full","ROC-AUC",""
"23","high_tax_frac",0.00241878441318807,0.00326440020107023,0.459322426433129,"Full","ROC-AUC",""
"24","unclassified_tax_frac",-0.0259244058060692,0.00322374838141933,0.000000000000533516747042358,"Attribute","ROC-AUC","****"
"25","cannibalistic_removal",-0.0254058941262236,0.00323805004150707,0.000000000000973275894724147,"Attribute","ROC-AUC","****"
"26","avg_degree",0.0243281394417712,0.00326666235766625,0.00000000000852349004824059,"Attribute","ROC-AUC","****"
"27","modularity",-0.0234687982991534,0.00328841916136623,0.0000000000447654950628763,"Attribute","ROC-AUC","****"
"28","log_num_nodes",0.0223845893912011,0.00331456194664992,0.000000000366520310751255,"Attribute","ROC-AUC","****"
"29","deg_assort_oi",0.021127942273963,0.00334307966601474,0.00000000380477537889644,"Attribute","ROC-AUC","****"
"30","mass_skewness",-0.0171126795314348,0.00342188953454185,0.00000326334223786375,"Attribute","ROC-AUC","****"
"31","deg_assort_io",0.0138629098676691,0.00347258608749046,0.000239123923565739,"Attribute","ROC-AUC","***"
"32","min_log_mass",-0.0134699794222027,0.00347795134225249,0.000307606824318532,"Attribute","ROC-AUC","***"
"33","median_log_mass",-0.0134660543238765,0.00347800411806252,0.000307606824318532,"Attribute","ROC-AUC","***"
"34","deg_assort_ii",-0.0130924122759942,0.00348295402723702,0.000417662826130563,"Attribute","ROC-AUC","***"
"35","mean_log_mass",-0.0130456541016106,0.00348356317520699,0.000417662826130563,"Attribute","ROC-AUC","***"
"36","num_attr",0.010324577301901,0.003515112889578,0.00633285520526465,"Attribute","ROC-AUC","**"
