"","feature_name","coef_estimate","coef_std_error","coef_p_adjusted","model","metric","significance"
"1","log_num_nodes",0.0305130223251277,0.00247387033902138,0.000000000000000735997573432351,"Full","ROC-AUC","****"
"2","avg_degree",0.0224476563687451,0.00376555661535328,0.00000229481324709677,"Full","ROC-AUC","****"
"3","cannibalistic_removal",-0.0204078195376658,0.00397854448404107,0.0000231164045957912,"Full","ROC-AUC","****"
"4","max_log_mass",0.0204835129764204,0.00397119832120457,0.0000231164045957912,"Full","ROC-AUC","****"
"5","mass_skewness",-0.0171160056089429,0.0042613858793752,0.000824028187500564,"Full","ROC-AUC","***"
"6","assort_met",-0.0168009562024847,0.00428497644953633,0.000935168771180467,"Full","ROC-AUC","***"
"7","clustering_coefficient",0.0138166191057735,0.00448163420744919,0.0102157931859421,"Full","ROC-AUC","*"
"8","unclassified_tax_frac",-0.0119550752949252,0.00458151028115157,0.0287527379078961,"Full","ROC-AUC","*"
"9","num_attr",0.0119699712291904,0.0045807763745516,0.0287527379078961,"Full","ROC-AUC","*"
"10","deg_assort_io",0.0101034498602309,0.00466485587638173,0.0696814759498399,"Full","ROC-AUC",""
"11","deg_assort_oi",0.0101606846410777,0.00466250974022083,0.0696814759498399,"Full","ROC-AUC",""
"12","deg_assort_oo",-0.00789698752823416,0.00474449819497022,0.186860961937476,"Full","ROC-AUC",""
"13","high_tax_frac",-0.00687614065620938,0.00477439129216494,0.263472802839224,"Full","ROC-AUC",""
"14","min_log_mass",-0.00584295037799012,0.00480028750784281,0.359726839434556,"Full","ROC-AUC",""
"15","assort_mov",-0.00528829228561572,0.00481240598475773,0.405949940579932,"Full","ROC-AUC",""
"16","modularity",-0.0040434920216441,0.00483512410283842,0.55928819507226,"Full","ROC-AUC",""
"17","deg_assort_ii",-0.00241293302360234,0.00485562135175286,0.761351437300318,"Full","ROC-AUC",""
"18","median_log_mass",-0.002401660924521,0.00485572679264456,0.761351437300318,"Full","ROC-AUC",""
"19","connectance",0.0010837637083294,0.004864642967596,0.907016149775847,"Full","ROC-AUC",""
"20","mean_log_mass",-0.00125262585684376,0.0048638778029622,0.907016149775847,"Full","ROC-AUC",""
"21","assort_mass",-0.000575446875779415,0.00486627830048962,0.949472934194602,"Full","ROC-AUC",""
"22","miss_mass_frac",-0.000269749176079111,0.00486677916985883,0.956006997927812,"Full","ROC-AUC",""
"23","log_num_nodes",0.0361708560422055,0.00362454768859903,0.00000000000198926843350023,"Attribute","ROC-AUC","****"
"24","avg_degree",0.0259377244867226,0.00501289772423707,0.0000394448027447087,"Attribute","ROC-AUC","****"
"25","cannibalistic_removal",-0.0254664464719927,0.00505828344756326,0.0000431089575651812,"Attribute","ROC-AUC","****"
"26","max_log_mass",0.0223297244182957,0.00533056967010578,0.000585414618121215,"Attribute","ROC-AUC","***"
"27","assort_met",-0.0215835774856746,0.00538824602142627,0.000853573943349713,"Attribute","ROC-AUC","***"
"28","mass_skewness",-0.0175713543731927,0.00565661687594481,0.01114996019881,"Attribute","ROC-AUC","*"
"29","deg_assort_oi",0.016923367196006,0.00569377317075802,0.0139495455405825,"Attribute","ROC-AUC","*"
"30","num_attr",0.0130692111107863,0.00588218590314421,0.0841145963011058,"Attribute","ROC-AUC",""
"31","deg_assort_io",0.0124149428546339,0.00590886662811538,0.0987725815394879,"Attribute","ROC-AUC",""
"32","deg_assort_ii",-0.0120147199784472,0.00592445629358329,0.100313123961758,"Attribute","ROC-AUC",""
"33","min_log_mass",-0.0118844756760129,0.00592941086500396,0.100313123961758,"Attribute","ROC-AUC",""
"34","deg_assort_oo",-0.0107388112791214,0.00597050627467517,0.142579417673379,"Attribute","ROC-AUC",""
"35","clustering_coefficient",0.0095911452949211,0.00600725990646865,0.182761263277531,"Attribute","ROC-AUC",""
"36","unclassified_tax_frac",-0.00978661098265231,0.0060013086740851,0.182761263277531,"Attribute","ROC-AUC",""
"37","assort_mass",-0.00576273457298799,0.00609887254080228,0.511874464542514,"Attribute","ROC-AUC",""
"38","high_tax_frac",-0.00548417495275887,0.00610371675679525,0.512853283019086,"Attribute","ROC-AUC",""
"39","median_log_mass",-0.00430172173601013,0.00612157544175025,0.628046549298453,"Attribute","ROC-AUC",""
"40","connectance",-0.00361343207914833,0.00612996548148512,0.68206165296595,"Attribute","ROC-AUC",""
"41","miss_mass_frac",0.00254074327944814,0.00614011674893784,0.788172843940834,"Attribute","ROC-AUC",""
"42","mean_log_mass",-0.00159338062445941,0.00614613131916571,0.876091893921477,"Attribute","ROC-AUC",""
"43","modularity",0.000238576300341778,0.00614993978090181,0.969200966524108,"Attribute","ROC-AUC",""
"44","assort_mov",0.000366235297883436,0.00614982134073944,0.969200966524108,"Attribute","ROC-AUC",""
"45","log_num_nodes",0.0347661534285282,0.00320328985929554,0.0000000000000977676783404708,"Structure","ROC-AUC","****"
"46","avg_degree",0.0251583350558712,0.00459610190728474,0.0000134943849877693,"Structure","ROC-AUC","****"
"47","cannibalistic_removal",-0.0228624162819066,0.00481709189627629,0.000118201883573248,"Structure","ROC-AUC","***"
"48","max_log_mass",0.0189013760858219,0.00513085358336738,0.00297128152916748,"Structure","ROC-AUC","**"
"49","mass_skewness",-0.018538576130095,0.00515576818057306,0.00312453056369227,"Structure","ROC-AUC","**"
"50","deg_assort_io",0.0155939438418553,0.00533650799817722,0.018701013680425,"Structure","ROC-AUC","*"
"51","assort_met",-0.0140084761109313,0.00541884293707894,0.0344341890682491,"Structure","ROC-AUC","*"
"52","unclassified_tax_frac",-0.0140308733115328,0.00541774950184785,0.0344341890682491,"Structure","ROC-AUC","*"
"53","deg_assort_oi",0.0135909265575935,0.00543886890541146,0.0381189525724572,"Structure","ROC-AUC","*"
"54","deg_assort_oo",-0.0127726408500245,0.0054761602782502,0.0517211779941462,"Structure","ROC-AUC",""
"55","clustering_coefficient",0.0121255036237428,0.00550384784781029,0.0639139277079081,"Structure","ROC-AUC",""
"56","deg_assort_ii",-0.0111071984636786,0.00554425090709847,0.0921471053311622,"Structure","ROC-AUC",""
"57","num_attr",0.0100534302046905,0.00558206436966708,0.130967058890769,"Structure","ROC-AUC",""
"58","min_log_mass",-0.0073765993123144,0.00566036818040918,0.311361786738614,"Structure","ROC-AUC",""
"59","assort_mov",-0.00668328706370846,0.0056765914436183,0.358334988374235,"Structure","ROC-AUC",""
"60","median_log_mass",-0.00510691707448464,0.00570739559299471,0.515549912166588,"Structure","ROC-AUC",""
"61","mean_log_mass",-0.00349982851782648,0.00573021307263468,0.703953351930277,"Structure","ROC-AUC",""
"62","high_tax_frac",-0.00297900733052299,0.00573576570112043,0.740253905305647,"Structure","ROC-AUC",""
"63","assort_mass",0.00233849177385137,0.00574136492604142,0.793648599934531,"Structure","ROC-AUC",""
"64","connectance",-0.000763919954988949,0.00574938609424931,0.984279473314768,"Structure","ROC-AUC",""
"65","modularity",0.0000238816725234724,0.00575034264406972,0.996701918622984,"Structure","ROC-AUC",""
"66","miss_mass_frac",0.0000826112953032292,0.00575033238332364,0.996701918622984,"Structure","ROC-AUC",""
"67","log_num_nodes",0.108609283319264,0.0133324355414964,0.00000000143872109468737,"Full","PR-AUC","****"
"68","avg_degree",0.0931649377344145,0.0153802275579254,0.00000161332729579475,"Full","PR-AUC","****"
"69","cannibalistic_removal",-0.0755493527023785,0.017106340607091,0.000365054425248437,"Full","PR-AUC","***"
"70","mass_skewness",-0.0658071613180748,0.0178496590148676,0.00294469864154338,"Full","PR-AUC","**"
"71","assort_met",-0.0645264551750743,0.0179376627026875,0.00309785296066509,"Full","PR-AUC","**"
"72","unclassified_tax_frac",-0.0636841171948883,0.0179943717752451,0.00309785296066509,"Full","PR-AUC","**"
"73","max_log_mass",0.059745750522575,0.0182474475358655,0.00587700259611014,"Full","PR-AUC","**"
"74","deg_assort_oi",0.0475979062542182,0.0189096008005672,0.0409513505049215,"Full","PR-AUC","*"
"75","clustering_coefficient",0.0382403183757268,0.019306176477451,0.129119989208422,"Full","PR-AUC",""
"76","deg_assort_io",0.0325409334783727,0.0195023063257756,0.222421856961205,"Full","PR-AUC",""
"77","assort_mov",-0.0308382069990145,0.0195544401163667,0.241472432482014,"Full","PR-AUC",""
"78","min_log_mass",-0.0287977502499472,0.0196130585058123,0.271213224965997,"Full","PR-AUC",""
"79","high_tax_frac",-0.0268069816443065,0.019666231734692,0.302271686055969,"Full","PR-AUC",""
"80","num_attr",0.0234998582373548,0.0197458791840273,0.376050874263054,"Full","PR-AUC",""
"81","deg_assort_oo",-0.0225940355840141,0.0197658173417649,0.378605331272877,"Full","PR-AUC",""
"82","median_log_mass",-0.017653571489967,0.0198604951688185,0.519866776365545,"Full","PR-AUC",""
"83","mean_log_mass",-0.0163320217820316,0.0198818182198064,0.537145563053249,"Full","PR-AUC",""
"84","deg_assort_ii",-0.0154100412427033,0.0198956999420869,0.540286401193352,"Full","PR-AUC",""
"85","connectance",0.00916891929365766,0.0199683054183765,0.750301018752163,"Full","PR-AUC",""
"86","assort_mass",-0.00669396034658385,0.0199868450622822,0.812909525030686,"Full","PR-AUC",""
"87","modularity",-0.00286546364996303,0.0200041122786476,0.886640921619333,"Full","PR-AUC",""
"88","miss_mass_frac",-0.00294950331148917,0.0200038818115677,0.886640921619333,"Full","PR-AUC",""
"89","assort_met",-0.0410996661025257,0.0111477333071068,0.0117761455725869,"Attribute","PR-AUC","*"
"90","modularity",-0.0334379502591967,0.0116209795678598,0.0634402351076689,"Attribute","PR-AUC",""
"91","cannibalistic_removal",-0.0309753759803261,0.0117490444449627,0.0804304851447742,"Attribute","PR-AUC",""
"92","avg_degree",0.0275534525723783,0.0119087755600957,0.135260416571174,"Attribute","PR-AUC",""
