"","feature_name","coef_estimate","coef_std_error","coef_p_adjusted","model","metric","significance"
"1","modularity",-0.0183281967668343,0.00208941183812284,0.000000069309617516935,"Full","ROC-AUC","****"
"2","high_tax_frac",-0.0142692813142977,0.00307481766225324,0.000997972738292338,"Full","ROC-AUC","***"
"3","avg_degree",0.0137825707650701,0.00315905430950903,0.0013842864608265,"Full","ROC-AUC","**"
"4","deg_assort_oo",0.0124583843583382,0.00336393853109254,0.00579605421771685,"Full","ROC-AUC","**"
"5","connectance",0.0110269564982451,0.00355092466111127,0.0198640207395373,"Full","ROC-AUC","*"
"6","miss_mass_frac",-0.0108884843299855,0.00356732173443317,0.0198640207395373,"Full","ROC-AUC","*"
"7","cannibalistic_removal",-0.00929316783471294,0.00373685653519896,0.0645002022442867,"Full","ROC-AUC",""
"8","deg_assort_io",-0.00894105490279311,0.00376975321325763,0.0729969789071929,"Full","ROC-AUC",""
"9","median_log_mass",-0.00853617772592457,0.00380567973366889,0.0859670399543286,"Full","ROC-AUC",""
"10","deg_assort_oi",0.00711106315144775,0.00391674052645723,0.186276184028641,"Full","ROC-AUC",""
"11","assort_met",0.00693592395010605,0.0039288011640058,0.186591655238009,"Full","ROC-AUC",""
"12","clustering_coefficient",0.00674376311191065,0.00394164717314063,0.189763684254316,"Full","ROC-AUC",""
"13","mean_log_mass",-0.00599254256800259,0.00398805388174367,0.256513543939944,"Full","ROC-AUC",""
"14","log_num_nodes",0.0046296177812792,0.004057263778064,0.405172197218491,"Full","ROC-AUC",""
"15","parasitic_removal",0.00475082583417283,0.00405187106911323,0.405172197218491,"Full","ROC-AUC",""
"16","assort_mass",0.00301191160161438,0.00411543937643705,0.601580161035317,"Full","ROC-AUC",""
"17","unclassified_tax_frac",0.00312641783312082,0.00411215363665592,0.601580161035317,"Full","ROC-AUC",""
"18","num_attr",-0.00320980001821218,0.00410968213317118,0.601580161035317,"Full","ROC-AUC",""
"19","max_log_mass",-0.00243562114475017,0.00413008304034848,0.678456645292747,"Full","ROC-AUC",""
