"","feature_name","coef_estimate","coef_std_error","coef_p_adjusted","model","metric","significance"
"1","log_num_nodes",0.0675353706805179,0.00622686270773467,0.0000000242436056659666,"Full","ROC-AUC","****"
"2","unclassified_tax_frac",-0.0672972136001313,0.00636112328317724,0.0000000242436056659666,"Full","ROC-AUC","****"
"3","miss_mass_frac",-0.0666913086061532,0.00668855351285569,0.0000000422841747555887,"Full","ROC-AUC","****"
"4","connectance",-0.0641645295979393,0.00788283277585131,0.000000744357183299177,"Full","ROC-AUC","****"
"5","avg_degree",0.0619248949547036,0.00877507307584638,0.00000471269101623374,"Full","ROC-AUC","****"
"6","mean_log_mass",-0.059903735491563,0.00948481149148291,0.0000175190156030981,"Full","ROC-AUC","****"
"7","median_log_mass",-0.059692132489102,0.0095547678269102,0.0000175190156030981,"Full","ROC-AUC","****"
"8","clustering_coefficient",0.0554046102984951,0.0108289524571508,0.00017638057520041,"Full","ROC-AUC","***"
"9","high_tax_frac",0.0540433691347251,0.0111851478355554,0.000296194719704916,"Full","ROC-AUC","***"
"10","max_log_mass",-0.0535089213863459,0.0113195782640971,0.000337344186153774,"Full","ROC-AUC","***"
"11","deg_assort_io",0.052597061072724,0.0115423203539379,0.000450613086413195,"Full","ROC-AUC","***"
"12","mass_skewness",-0.0516854352205519,0.0117570687437403,0.000595028252109951,"Full","ROC-AUC","***"
"13","modularity",0.0464059006702216,0.0128641100912967,0.00332015940994592,"Full","ROC-AUC","**"
"14","min_log_mass",-0.0458889892434587,0.0129613383072957,0.00358986598107333,"Full","ROC-AUC","**"
"15","assort_mass",0.0344545067517663,0.014708779730212,0.0463049349756421,"Full","ROC-AUC","*"
"16","deg_assort_ii",0.0311965638660573,0.0150865978522321,0.0717185382863973,"Full","ROC-AUC",""
"17","cannibalistic_removal",0.0311418450758834,0.0150925466838213,0.0717185382863973,"Full","ROC-AUC",""
"18","assort_mov",0.0306846990643431,0.0151417479709928,0.0728133019149728,"Full","ROC-AUC",""
"19","parasitic_removal",0.025165947628779,0.0156682782739673,0.150986907818734,"Full","ROC-AUC",""
"20","deg_assort_oo",-0.0149857580564869,0.0163403857341347,0.426173433475365,"Full","ROC-AUC",""
"21","assort_met",0.0127950405736325,0.0164381068735081,0.488402661573399,"Full","ROC-AUC",""
"22","num_attr",0.00874249230793553,0.0165772477012751,0.631490909493215,"Full","ROC-AUC",""
"23","deg_assort_oi",0.00666835205479324,0.0166279123895664,0.692869581504004,"Full","ROC-AUC",""
"24","parasitic_removal",0.0360155656875956,0.00760226843482413,0.0032955354412462,"Attribute","ROC-AUC","**"
"25","log_num_nodes",0.0325996981367789,0.00837438410912377,0.0065883660208808,"Attribute","ROC-AUC","**"
"26","connectance",-0.0336251919319704,0.00815818175396239,0.0065883660208808,"Attribute","ROC-AUC","**"
"27","min_log_mass",-0.0322744836187094,0.00844042247848355,0.0065883660208808,"Attribute","ROC-AUC","**"
"28","unclassified_tax_frac",-0.0308690957617471,0.00871271037772718,0.00999368916038398,"Attribute","ROC-AUC","**"
"29","avg_degree",0.028462386305388,0.00913382596767503,0.0217985069436103,"Attribute","ROC-AUC","*"
"30","modularity",0.0257053538819671,0.00955441748299459,0.0370186601975595,"Attribute","ROC-AUC","*"
"31","miss_mass_frac",-0.0257973319211174,0.00954136109482939,0.0370186601975595,"Attribute","ROC-AUC","*"
"32","mean_log_mass",-0.0262826921008523,0.00947138707531004,0.0370186601975595,"Attribute","ROC-AUC","*"
"33","median_log_mass",-0.0246142467099062,0.00970446194839405,0.0463029095733527,"Attribute","ROC-AUC","*"
"34","deg_assort_io",0.0223665181741591,0.00998671501311372,0.0779290728178486,"Attribute","ROC-AUC",""
"35","max_log_mass",-0.0219104191388106,0.0100397885454418,0.0801951831577221,"Attribute","ROC-AUC",""
"36","clustering_coefficient",0.0197267639250053,0.0102753434533249,0.123887806751466,"Attribute","ROC-AUC",""
"37","num_attr",0.0190729322312765,0.0103401095628065,0.132662167462027,"Attribute","ROC-AUC",""
"38","mass_skewness",-0.0153539795997841,0.0106609753281333,0.254663712096402,"Attribute","ROC-AUC",""
"39","cannibalistic_removal",0.0135236692408169,0.0107906552257274,0.323882075676468,"Attribute","ROC-AUC",""
"40","high_tax_frac",0.0106561931778155,0.0109584424087741,0.464140529601081,"Attribute","ROC-AUC",""
"41","deg_assort_oi",-0.00819664485319384,0.011069234763394,0.598071934593997,"Attribute","ROC-AUC",""
"42","deg_assort_oo",-0.00579890581144183,0.0111487287095291,0.737178499664704,"Attribute","ROC-AUC",""
