"","feature_name","coef_estimate","coef_std_error","coef_p_adjusted","model","metric","significance"
"1","min_log_mass",-0.00830477452792742,0.000576936559788563,0.00000000000000000472319614002141,"Full","ROC-AUC","****"
"2","connectance",0.00587970661250041,0.0010103575586065,0.00000479663923143216,"Full","ROC-AUC","****"
"3","avg_degree",0.00516491598105491,0.00108568607405077,0.000131013684518326,"Full","ROC-AUC","***"
"4","clustering_coefficient",0.00467275965672706,0.00112940149505133,0.00077302170471031,"Full","ROC-AUC","***"
"5","miss_mass_frac",-0.00449669878130624,0.00114360631102617,0.000995661743331882,"Full","ROC-AUC","***"
"6","parasitic_removal",-0.00450970096578463,0.00114258187330227,0.000995661743331882,"Full","ROC-AUC","***"
"7","mean_log_mass",-0.00386332464617055,0.00118900624337332,0.00680810786999355,"Full","ROC-AUC","**"
"8","modularity",-0.00367076585608052,0.00120114568384171,0.0103312285999125,"Full","ROC-AUC","*"
"9","assort_met",0.00291339181053972,0.00124196793693739,0.0587623932619861,"Full","ROC-AUC",""
"10","high_tax_frac",-0.0028049300890751,0.00124695177818668,0.0665150197244771,"Full","ROC-AUC",""
"11","max_log_mass",-0.00248945656266284,0.00126027517378833,0.112415881113281,"Full","ROC-AUC",""
"12","median_log_mass",-0.00241055096548289,0.00126333933449058,0.119085239736222,"Full","ROC-AUC",""
"13","unclassified_tax_frac",0.00203107076932864,0.00127661130490627,0.208621048048792,"Full","ROC-AUC",""
"14","log_num_nodes",0.00187743661638243,0.00128130637563552,0.244970713643259,"Full","ROC-AUC",""
"15","deg_assort_io",0.00165654494479636,0.00128738439097742,0.312963056134988,"Full","ROC-AUC",""
"16","assort_mov",0.00138132701262842,0.00129386247603776,0.418066441951309,"Full","ROC-AUC",""
"17","deg_assort_oo",0.00109386235339748,0.00129935010534163,0.54642407033803,"Full","ROC-AUC",""
"18","assort_mass",0.000955807924608145,0.00130152603409998,0.569944071848079,"Full","ROC-AUC",""
"19","deg_assort_oi",0.000945870997875963,0.00130167121590763,0.569944071848079,"Full","ROC-AUC",""
"20","num_attr",-0.000734851902991509,0.00130439305687676,0.662058437148356,"Full","ROC-AUC",""
"21","deg_assort_ii",-0.000524147877794174,0.00130642518854276,0.689976742721968,"Full","ROC-AUC",""
"22","cannibalistic_removal",0.000540206955379765,0.0013062943474279,0.689976742721968,"Full","ROC-AUC",""
"23","mass_skewness",0.000580950917702548,0.00130594460596126,0.689976742721968,"Full","ROC-AUC",""
"24","min_log_mass",-0.0260610365681625,0.00161424809533954,0.0000000000000000000413342913197321,"Attribute","ROC-AUC","****"
"25","clustering_coefficient",0.0227581870232366,0.00241467346068927,0.0000000000130480031426141,"Attribute","ROC-AUC","****"
"26","connectance",0.0223952457632923,0.00248161415161265,0.0000000000346594737319681,"Attribute","ROC-AUC","****"
"27","avg_degree",0.0209987633608209,0.00271484588877053,0.00000000246406358709701,"Attribute","ROC-AUC","****"
"28","parasitic_removal",-0.0191252732226484,0.00297889710071199,0.000000222820494321022,"Attribute","ROC-AUC","****"
"29","high_tax_frac",-0.0175928394683536,0.00316214949714023,0.0000039664360308867,"Attribute","ROC-AUC","****"
"30","assort_met",0.0161566740037813,0.00331188574020303,0.0000371185161487879,"Attribute","ROC-AUC","****"
"31","assort_mass",0.0124517359788062,0.00361779420030099,0.0033816228250135,"Attribute","ROC-AUC","**"
