"","feature_name","mean_coef","mean_coef_se","mean_coef_conf_low","mean_coef_conf_high","mean_coef_zvalue","mean_coef_pvalue","p_adjusted","model","metric","significance"
"1","log_num_nodes",2.38060038444833,0.103429649255011,2.1778782719085,2.58332249698815,23.0166146902309,3.17813164279398e-117,7.30970277842615e-116,"Full","ROC-AUC","****"
"2","cannibalistic_removal",-12.0339030420245,0.694802368399324,-13.3957156840872,-10.6720903999618,-17.3198935256194,0.000000000000000000000000000000000000000000000000000000000000000000332973265986557,0.00000000000000000000000000000000000000000000000000000000000000000382919255884541,"Full","ROC-AUC","****"
"3","avg_degree",0.151314790709361,0.00885811514429202,0.133952885026548,0.168676696392173,17.082052811976,0.0000000000000000000000000000000000000000000000000000000000000000201889234837558,0.000000000000000000000000000000000000000000000000000000000000000154781746708794,"Full","ROC-AUC","****"
"4","mass_skewness",-1.65147860763745,0.121623721844768,-1.8898611024532,-1.41309611282171,-13.578589625347,0.00000000000000000000000000000000000000000536495609948398,0.0000000000000000000000000000000000000000308484975720329,"Full","ROC-AUC","****"
"5","min_log_mass",-0.117165663414963,0.0101174358023968,-0.136995837587661,-0.0973354892422651,-11.580569000221,0.000000000000000000000000000000517017373977389,0.00000000000000000000000000000237827992029599,"Full","ROC-AUC","****"
"6","unclassified_tax_frac",-3.15043555423574,0.299678859350691,-3.73780611856309,-2.56306498990838,-10.5127053708818,0.0000000000000000000000000754961905603386,0.000000000000000000000000289402063814631,"Full","ROC-AUC","****"
"7","num_attr",0.22126776555128,0.0257768456139134,0.17074514814801,0.27179038295455,8.58397372841646,0.00000000000000000916509116373249,0.0000000000000000301138709665496,"Full","ROC-AUC","****"
"8","assort_mov",4.11861492153288,0.518007522150546,3.10332017811781,5.13390966494795,7.9508785981218,0.00000000000000185193362134851,0.00000000000000532430916137697,"Full","ROC-AUC","****"
"9","mean_log_mass",-0.162939831056819,0.0213464234311142,-0.204778820981803,-0.121100841131836,-7.63312091051848,0.0000000000000229137792264976,0.0000000000000585574358010494,"Full","ROC-AUC","****"
"10","assort_mass",4.35140480502866,0.669363406979541,3.03945252734876,5.66335708270856,6.50081071008063,0.0000000000798883029014913,0.00000000018374309667343,"Full","ROC-AUC","****"
"11","clustering_coefficient",1.55306860299299,0.245964373238012,1.07097843144648,2.03515877453949,6.31420145343623,0.000000000271560007137449,0.000000000567807287651029,"Full","ROC-AUC","****"
"12","median_log_mass",-0.117919951416102,0.0200676888038394,-0.157252621471627,-0.0785872813605768,-5.8761102271798,0.00000000420018705933128,0.00000000805035853038496,"Full","ROC-AUC","****"
"13","deg_assort_oo",0.678893415721227,0.178448080234757,0.329135178461104,1.02865165298135,3.80443104138813,0.000142130498713866,0.000251461651570685,"Full","ROC-AUC","***"
"14","connectance",-2.3701111152755,0.934083155241621,-4.20091409954907,-0.539308131001919,-2.53736629546907,0.0111690023040431,0.0183490752137852,"Full","ROC-AUC","*"
"15","assort_met",2.03442827196848,0.831858992268443,0.403984647122329,3.66487189681463,2.44564077671467,0.0144594986957453,0.0221712313334761,"Full","ROC-AUC","*"
"16","miss_mass_frac",0.503086763536296,0.396232921377064,-0.273529762362749,1.27970328943534,1.2696743162781,0.204200665185431,0.293538456204057,"Full","ROC-AUC",""
