"","feature_name","mean_coef","mean_coef_se","mean_coef_conf_low","mean_coef_conf_high","mean_coef_zvalue","mean_coef_pvalue","p_adjusted","model","metric","significance"
"1","median_log_mass",-0.257055670988146,0.0266194457171187,-0.309229784593698,-0.204881557382593,-9.65668758545323,0.000000000000000000000460513559615949,0.0000000000000000000101312983115509,"Full","ROC-AUC","****"
"2","mean_log_mass",-0.257274687615723,0.0282815261250372,-0.312706478820796,-0.20184289641065,-9.09691671086876,0.0000000000000000000929325734697818,0.0000000000000000010222583081676,"Full","ROC-AUC","****"
"3","cannibalistic_removal",-0.188951390703479,0.0272324611478376,-0.24232701455324,-0.135575766853717,-6.93846177463406,0.00000000000396392213505183,0.0000000000290687623237134,"Full","ROC-AUC","****"
"4","unclassified_tax_frac",-0.155707612741483,0.0230778918002745,-0.200940280670021,-0.110474944812945,-6.74704665785941,0.0000000000150884766912959,0.0000000000829866218021272,"Full","ROC-AUC","****"
"5","high_tax_frac",-0.202108495067084,0.0338897725909681,-0.268532449345382,-0.135684540788787,-5.96370171928942,0.00000000246586700925479,0.0000000108498148407211,"Full","ROC-AUC","****"
"6","connectance",0.195028757508692,0.0333780862999036,0.129607708360881,0.260449806656503,5.84301795364629,0.00000000512634901992108,0.0000000187966130730439,"Full","ROC-AUC","****"
"7","deg_assort_ii",-0.148985446260698,0.0275948554629693,-0.203071362968118,-0.094899529553278,-5.39902977425005,0.0000000670022547616745,0.000000210578514965263,"Full","ROC-AUC","****"
"8","min_log_mass",-0.216303441918276,0.0423191119471583,-0.299248901334706,-0.133357982501846,-5.11124718752046,0.000000320038899122819,0.000000880106972587751,"Full","ROC-AUC","****"
"9","modularity",-0.135250761840276,0.02894262614296,-0.191978309080477,-0.0785232146000739,-4.67306460623905,0.00000296738372529502,0.00000725360466183227,"Full","ROC-AUC","****"
"10","max_log_mass",-0.133705780870855,0.0308540041465543,-0.194179628998102,-0.073231932743609,-4.33349850592366,0.0000146758277144997,0.0000322868209718993,"Full","ROC-AUC","****"
"11","deg_assort_oi",0.111358494311969,0.0270367377183795,0.058366488383945,0.164350500239993,4.11878442850255,0.0000380876244801908,0.0000761752489603816,"Full","ROC-AUC","****"
"12","miss_mass_frac",-0.125281756036566,0.0327922879551657,-0.189554640428691,-0.0610088716444416,-3.82046401299764,0.000133200840321547,0.000244201540589502,"Full","ROC-AUC","***"
"13","mass_skewness",-0.14219259371502,0.0383075122831929,-0.217275317790078,-0.0671098696399615,-3.71187229971614,0.000205731782028788,0.000348161477279487,"Full","ROC-AUC","***"
"14","assort_mass",-0.140051021039802,0.0434349638135213,-0.225183550114304,-0.0549184919653,-3.22438443004306,0.00126243801301592,0.00198383116331073,"Full","ROC-AUC","**"
"15","avg_degree",0.213840412180939,0.0714918794746264,0.0737163284106712,0.353964495951207,2.99111470774571,0.00277961059409188,0.0040767622046681,"Full","ROC-AUC","**"
"16","deg_assort_oo",0.0549095503990978,0.0274402498396617,0.00112666071336087,0.108692440084835,2.00105869006092,0.0453860654618616,0.0624058400100597,"Full","ROC-AUC",""
"17","parasitic_removal",-0.0650154973649824,0.0400194531139522,-0.143453625468329,0.0134226307383639,-1.62459734719153,0.104248382768569,0.134909671818148,"Full","ROC-AUC",""
"18","assort_mov",0.0557233089517206,0.0398119360914366,-0.0223080857874951,0.133754703690936,1.39966337793119,0.161614145360643,0.197528399885231,"Full","ROC-AUC",""
"19","clustering_coefficient",-0.0480095411697739,0.0363981699858916,-0.119349954342121,0.0233308720025737,-1.31900975209421,0.187165852218971,0.216718355200914,"Full","ROC-AUC",""
"20","assort_met",0.0235500886355775,0.0310506895971529,-0.0373092629748423,0.0844094402459973,0.758440116503461,0.4481875496746,0.49300630464206,"Full","ROC-AUC",""
"21","num_attr",-0.0274739043317039,0.0437359492638126,-0.113196364888777,0.0582485562253687,-0.62817670118426,0.529888191313377,0.5551209623283,"Full","ROC-AUC",""
"22","deg_assort_io",-0.0123973322720795,0.0281575895566237,-0.067586207803062,0.0427915432589029,-0.440283861910447,0.659731527563471,0.659731527563471,"Full","ROC-AUC",""
"23","modularity",-0.226940789477187,0.0243561680284791,-0.274678878813006,-0.179202700141368,-9.31759007458934,0.0000000000000000000119012687044032,0.000000000000000000261827911496871,"Attribute","ROC-AUC","****"
"24","connectance",0.240746941544025,0.0296384113867214,0.182655655226051,0.298838227861999,8.12280180616848,0.000000000000000455542896127727,0.00000000000000334064790493666,"Attribute","ROC-AUC","****"
"25","deg_assort_oi",0.208311971822931,0.0256326371012134,0.158072003104553,0.25855194054131,8.12682561690348,0.000000000000000440678640567214,0.00000000000000334064790493666,"Attribute","ROC-AUC","****"
"26","assort_mov",-0.185295789845863,0.0295152112223028,-0.243145603841577,-0.12744597585015,-6.27797607309164,0.000000000343008684310283,0.00000000188654776370656,"Attribute","ROC-AUC","****"
"27","deg_assort_ii",-0.150069649046975,0.0271374957745433,-0.20325914076508,-0.0968801573288699,-5.52997411012956,0.0000000320278053121515,0.000000140922343373467,"Attribute","ROC-AUC","****"
"28","unclassified_tax_frac",-0.138983015100537,0.0255982607180198,-0.189155606107856,-0.0888104240932184,-5.42939290413199,0.0000000565460729207572,0.000000198376842142585,"Attribute","ROC-AUC","****"
"29","cannibalistic_removal",-0.166586543449152,0.0307938749570955,-0.226942538365059,-0.106230548533245,-5.40972981416771,0.0000000631199043180953,0.000000198376842142585,"Attribute","ROC-AUC","****"
"30","high_tax_frac",-0.135233963648593,0.0284152258395731,-0.190927806294156,-0.0795401210030294,-4.75920777163967,0.00000194354291402097,0.00000534474301355766,"Attribute","ROC-AUC","****"
"31","avg_degree",0.195574703769921,0.0510351777281755,0.0955457554226973,0.295603652117145,3.83215484839878,0.000127025741340795,0.000310507367721944,"Attribute","ROC-AUC","***"
"32","max_log_mass",-0.106374370315022,0.0284068367195143,-0.162051770285269,-0.0506969703447735,-3.74467496558485,0.000180627464740941,0.000397380422430069,"Attribute","ROC-AUC","***"
"33","median_log_mass",-0.0973876275496832,0.0271766834239067,-0.15065392706054,-0.0441213280388261,-3.58349935606983,0.000339021600247312,0.000678043200494624,"Attribute","ROC-AUC","***"
"34","assort_mass",-0.123436101951236,0.0347327546051166,-0.191512300977264,-0.0553599029252071,-3.55388172791374,0.000379589878764152,0.000695914777734279,"Attribute","ROC-AUC","***"
"35","deg_assort_io",0.0733159612870094,0.0267734630512121,0.0208399737066337,0.125791948867385,2.73838170081962,0.0061742369069915,0.0104487086118318,"Attribute","ROC-AUC","*"
"36","mean_log_mass",-0.0620044769395132,0.0277942334504255,-0.116481174502347,-0.00752777937667928,-2.2308396110332,0.0256917550690655,0.0403727579656743,"Attribute","ROC-AUC","*"
"37","num_attr",-0.0718242282936509,0.0378471371615986,-0.146004617130384,0.00235616054308228,-1.89774534298269,0.0577296363583913,0.0846701333256405,"Attribute","ROC-AUC",""
"38","min_log_mass",0.0633485873050425,0.0358918301940249,-0.00699939987524623,0.133696574485331,1.76498626463436,0.0775660741767467,0.106653351993027,"Attribute","ROC-AUC",""
"39","parasitic_removal",-0.0375142882985575,0.0271237479292744,-0.0906768342399354,0.0156482576428204,-1.38307907876067,0.166640619840767,0.215652566852758,"Attribute","ROC-AUC",""
"40","clustering_coefficient",-0.0399563699872654,0.0315106967032024,-0.101717335525542,0.0218045955510113,-1.26802559662874,0.204788809826602,0.250297434232514,"Attribute","ROC-AUC",""
"41","deg_assort_oo",-0.0273794486274757,0.0270356222228405,-0.080369268184243,0.0256103709292916,-1.01271753251326,0.311195100986379,0.360331169563175,"Attribute","ROC-AUC",""
"42","assort_met",0.0233321683434205,0.0282648277972684,-0.0320668941392255,0.0787312308260665,0.825484185177857,0.409096757644899,0.450006433409389,"Attribute","ROC-AUC",""
"43","miss_mass_frac",-0.0224050385983427,0.0289153563052032,-0.079079136956541,0.0342690597598557,-0.774849127289189,0.438428815896083,0.459306378557801,"Attribute","ROC-AUC",""
"44","mass_skewness",-0.0131383008371071,0.0378526076404667,-0.0873294118124218,0.0610528101382077,-0.34709103694778,0.728522926912506,0.728522926912506,"Attribute","ROC-AUC",""
"45","median_log_mass",-0.250398692000135,0.0261968190845243,-0.301744457405803,-0.199052926594468,-9.55836245584708,0.00000000000000000000119634588092059,0.0000000000000000000263196093802529,"Structure","ROC-AUC","****"
"46","mean_log_mass",-0.24704406858644,0.0277853620286898,-0.301503378162672,-0.192584759010208,-8.89115888903495,0.000000000000000000604748290549229,0.00000000000000000665223119604152,"Structure","ROC-AUC","****"
"47","cannibalistic_removal",-0.216235520543911,0.0265519266541278,-0.268277296786001,-0.16419374430182,-8.14387307409553,0.000000000000000382830530405466,0.00000000000000280742388964008,"Structure","ROC-AUC","****"
"48","unclassified_tax_frac",-0.157970944214792,0.0229790098770146,-0.20300980357374,-0.112932084855843,-6.87457575675646,0.00000000000621746107267939,0.0000000000341960358997366,"Structure","ROC-AUC","****"
"49","deg_assort_ii",-0.174357499941124,0.0268466824544915,-0.226976997551927,-0.121738002330321,-6.49456409508631,0.0000000000832741713306266,0.000000000366406353854757,"Structure","ROC-AUC","****"
"50","max_log_mass",-0.158299668740141,0.029980084113184,-0.217060633601981,-0.0995387038783,-5.28016092758482,0.000000129070472063512,0.00000047325839756621,"Structure","ROC-AUC","****"
"51","connectance",0.163919641084089,0.0330644544573244,0.0991133103477336,0.228725971820445,4.95757887962909,0.000000713770666074274,0.00000224327923623343,"Structure","ROC-AUC","****"
"52","high_tax_frac",-0.16119826136462,0.0338943914847346,-0.2276312686747,-0.09476525405454,-4.75589778436413,0.00000197566420911544,0.00000543307657506745,"Structure","ROC-AUC","****"
"53","deg_assort_oi",0.121546715993022,0.0265110755108566,0.069585007991743,0.173508423994301,4.58475235918841,0.00000454524818118793,0.0000111106066651261,"Structure","ROC-AUC","****"
"54","modularity",-0.12999509655773,0.028559531737755,-0.18597177876373,-0.0740184143517304,-4.55172366799978,0.00000532081911438357,0.0000112350475964288,"Structure","ROC-AUC","****"
"55","min_log_mass",-0.189140468410173,0.0416581776717015,-0.270790496646708,-0.107490440173638,-4.54029626309497,0.00000561752379821441,0.0000112350475964288,"Structure","ROC-AUC","****"
"56","mass_skewness",-0.146245769384986,0.0377563203283786,-0.220248157228609,-0.0722433815413643,-3.87341160666719,0.000107322343121005,0.000196757629055176,"Structure","ROC-AUC","***"
"57","assort_mass",-0.161820090424235,0.0425067645566472,-0.245133348955263,-0.0785068318932065,-3.80692560612519,0.000140705048176566,0.000238116235375727,"Structure","ROC-AUC","***"
"58","miss_mass_frac",-0.106866226112067,0.0328956709615058,-0.171341741196618,-0.0423907110275155,-3.24864102140129,0.0011595771454992,0.00182219265721302,"Structure","ROC-AUC","**"
"59","clustering_coefficient",-0.109008005147301,0.0352529763750697,-0.178103838842438,-0.0399121714521646,-3.09216458739608,0.001987026450549,0.0029143054608052,"Structure","ROC-AUC","**"
"60","avg_degree",0.163026526049186,0.0700604743986467,0.025707996227838,0.300345055870533,2.32694008210048,0.0199684545098213,0.0274566249510044,"Structure","ROC-AUC","*"
"61","assort_met",0.0478314545392388,0.0302104031158108,-0.0113809355677503,0.107043844646228,1.58327759996708,0.113358206140865,0.140689800978259,"Structure","ROC-AUC",""
"62","parasitic_removal",-0.0620917742496331,0.039407448925617,-0.139330374143842,0.0151468256445762,-1.57563546848297,0.11510983716403,0.140689800978259,"Structure","ROC-AUC",""
"63","deg_assort_oo",0.0398228773110053,0.0271058207443786,-0.0133045313479768,0.0929502859699874,1.46916330948082,0.141788499385888,0.15867575278468,"Structure","ROC-AUC",""
"64","num_attr",-0.0624267488856187,0.0427538497836042,-0.146224294461483,0.0213707966902455,-1.46014333683604,0.144250684349709,0.15867575278468,"Structure","ROC-AUC",""
"65","assort_mov",0.0271558902868351,0.0392183922283564,-0.0497121584807435,0.104023939054414,0.692427423559713,0.488668948907228,0.511938898855191,"Structure","ROC-AUC",""
"66","deg_assort_io",-0.00539350446844185,0.0277108932400277,-0.0597068552188961,0.0489198462820124,-0.194634811001006,0.84567884895274,0.84567884895274,"Structure","ROC-AUC",""
"67","connectance",0.449579410578047,0.0487434507871745,0.354042247035185,0.545116574120909,9.22338085050681,0.0000000000000000000287877169402774,0.000000000000000000633329772686104,"Full","PR-AUC","****"
"68","miss_mass_frac",-0.360143924314339,0.0419710737698548,-0.442407228903255,-0.277880619725424,-8.58076508333242,0.00000000000000000942441767668743,0.000000000000000103668594443562,"Full","PR-AUC","****"
"69","avg_degree",0.596860750973298,0.0804199427758522,0.439237663132628,0.754483838813968,7.42180024470893,0.000000000000115538981847247,0.000000000000847285866879813,"Full","PR-AUC","****"
"70","modularity",-0.284600819792072,0.043671193413233,-0.370196358882009,-0.199005280702136,-6.51690044508456,0.0000000000717750275134183,0.000000000394762651323801,"Full","PR-AUC","****"
"71","median_log_mass",-0.248560858148695,0.0443745219383459,-0.335534921147853,-0.161586795149537,-5.60143179669735,0.0000000212588433505668,0.0000000935389107424939,"Full","PR-AUC","****"
"72","high_tax_frac",-0.236296449162237,0.0463931427747708,-0.327227009000787,-0.145365889323686,-5.0933486077761,0.000000351793981234549,0.00000128991126452668,"Full","PR-AUC","****"
"73","unclassified_tax_frac",-0.25668051891062,0.0511454414763856,-0.356925584204336,-0.156435453616904,-5.01863922768429,0.000000520387721930614,0.00000163550426892479,"Full","PR-AUC","****"
"74","max_log_mass",-0.229124741706856,0.0466160017035041,-0.320492105045724,-0.137757378367988,-4.91515216521955,0.000000887135279533563,0.0000024396220187173,"Full","PR-AUC","****"
"75","mean_log_mass",-0.216099568579538,0.0449300857376825,-0.304162536625396,-0.128036600533681,-4.8096852038343,0.00000151168175892933,0.00000369522207738282,"Full","PR-AUC","****"
"76","deg_assort_oi",0.196848279065894,0.0443673920666941,0.109888190615173,0.283808367516614,4.43677822599956,0.00000913152861211427,0.0000200893629466514,"Full","PR-AUC","****"
"77","cannibalistic_removal",-0.20513616597441,0.0570301337480309,-0.31691522812055,-0.0933571038282692,-3.59697851807147,0.000321935059573122,0.000643870119146243,"Full","PR-AUC","***"
"78","clustering_coefficient",0.13311688557461,0.0511398481567431,0.0328827831873932,0.233350987961826,2.60299727849421,0.00924126872803019,0.015639070155128,"Full","PR-AUC","*"
"79","deg_assort_ii",-0.118809146536979,0.0452871527940901,-0.207571966013396,-0.0300463270605629,-2.62346248785337,0.00870410294244108,0.015639070155128,"Full","PR-AUC","*"
"80","num_attr",-0.158857648686592,0.0617722553560288,-0.279931269184409,-0.0377840281887756,-2.57166664501732,0.0101210292932903,0.0159044746037419,"Full","PR-AUC","*"
"81","min_log_mass",-0.134296046316814,0.0578422889947645,-0.247666932746552,-0.0209251598870752,-2.32176230662257,0.0202457379205446,0.0296937489501321,"Full","PR-AUC","*"
"82","assort_mov",-0.113825519354431,0.0524714241158024,-0.216669510621404,-0.0109815280874582,-2.16928587840922,0.0300609866752833,0.0413338566785145,"Full","PR-AUC","*"
"83","deg_assort_oo",0.0810704815370585,0.0448816259757321,-0.00689750537537637,0.169038468449493,1.80631783663306,0.0708687073006848,0.0917124447420627,"Full","PR-AUC",""
"84","parasitic_removal",-0.0733242852439042,0.0450509771038364,-0.161624200367424,0.0149756298796153,-1.62758479299798,0.103612955757911,0.126638057037447,"Full","PR-AUC",""
"85","deg_assort_io",0.0473305832007746,0.0452514663817931,-0.0413622909075399,0.136023457309089,1.04594584408469,0.295586036649299,0.342257516120241,"Full","PR-AUC",""
"86","mass_skewness",-0.0520893720764473,0.0621829607136662,-0.173967975075233,0.0697892309223385,-0.837679188617331,0.402210904771862,0.442431995249048,"Full","PR-AUC",""
"87","assort_met",0.0254502422876413,0.0464743478260635,-0.0656394794514431,0.116539964026726,0.547619137828298,0.583953445790473,0.611760752732876,"Full","PR-AUC",""
"88","assort_mass",0.0175985468166677,0.057100472290904,-0.0943183788735041,0.12951547250684,0.308203174345217,0.75792773718231,0.75792773718231,"Full","PR-AUC",""
"89","modularity",-0.481305480327046,0.0411852946720914,-0.562028657884345,-0.400582302769747,-11.6863430056552,0.00000000000000000000000000000014969450910844,0.00000000000000000000000000000329327920038568,"Attribute","PR-AUC","****"
"90","deg_assort_oi",0.464905635010739,0.0406188926809862,0.385292605356006,0.544518664665472,11.4455516712882,0.00000000000000000000000000000247524820290321,0.0000000000000000000000000000272277302319353,"Attribute","PR-AUC","****"
"91","connectance",0.4776655029134,0.0464862648002432,0.386552423904924,0.568778581921877,10.2754115643832,0.000000000000000000000000909553883638589,0.00000000000000000000000667006181334965,"Attribute","PR-AUC","****"
