"","feature_name","mean_coef","mean_coef_se","mean_coef_conf_low","mean_coef_conf_high","mean_coef_zvalue","mean_coef_pvalue","p_adjusted","model","metric","significance"
"1","median_log_mass",-0.114135891906295,0.0118193625813004,-0.137301842565644,-0.0909699412469462,-9.65668758540933,0.000000000000000000000460513559813237,0.0000000000000000000101312983158912,"Full","ROC-AUC","****"
"2","mean_log_mass",-0.123955637021546,0.0136261154147775,-0.15066282323451,-0.0972484508085823,-9.09691671091504,0.0000000000000000000929325734301952,0.00000000000000000102225830773215,"Full","ROC-AUC","****"
"3","cannibalistic_removal",-4.73770066663309,0.682817146005366,-6.07602227280361,-3.39937906046258,-6.9384617746489,0.00000000000396392213463541,0.0000000000290687623206597,"Full","ROC-AUC","****"
"4","unclassified_tax_frac",-1.51865746505015,0.225084772951037,-1.95982362003418,-1.07749131006612,-6.74704665775194,0.0000000000150884767024671,0.0000000000829866218635693,"Full","ROC-AUC","****"
"5","high_tax_frac",-1.80915602341638,0.303361252555542,-2.40374407842524,-1.21456796840751,-5.96370171924029,0.00000000246586700999652,0.0000000108498148439847,"Full","ROC-AUC","****"
"6","connectance",4.01630015694231,0.687367416774954,2.6690600200634,5.36354029382122,5.8430179536096,0.00000000512634902105062,0.0000000187966130771856,"Full","ROC-AUC","****"
"7","deg_assort_ii",-0.519736634999824,0.0962648210423231,-0.708415684242778,-0.331057585756871,-5.39902977403677,0.0000000670022548413153,0.000000210578515215562,"Full","ROC-AUC","****"
"8","min_log_mass",-0.0491096819887675,0.00960816023683834,-0.0679416760529706,-0.0302776879245643,-5.11124718762262,0.000000320038898949717,0.000000880106972111721,"Full","ROC-AUC","****"
"9","modularity",-1.5057433353799,0.322217530100471,-2.13728969437682,-0.874196976382975,-4.67306460610753,0.00000296738372719602,0.00000725360466647916,"Full","ROC-AUC","****"
"10","max_log_mass",-0.0794367849864868,0.0183308670529253,-0.11536528441022,-0.0435082855627532,-4.33349850594274,0.0000146758277132271,0.0000322868209690997,"Full","ROC-AUC","****"
"11","deg_assort_oi",0.320779303380756,0.0778820326607174,0.16813051936575,0.473428087395762,4.11878442847259,0.0000380876244851422,0.0000761752489702844,"Full","ROC-AUC","****"
"12","miss_mass_frac",-1.02653245460275,0.268693135466247,-1.5531710001166,-0.499893909088909,-3.82046401305144,0.000133200840292487,0.000244201540536226,"Full","ROC-AUC","***"
"13","mass_skewness",-0.475351921940952,0.12806257423412,-0.726354567439827,-0.224349276442076,-3.71187229980187,0.000205731781959093,0.000348161477161542,"Full","ROC-AUC","***"
"14","assort_mass",-1.99088522162309,0.61744660568974,-3.20108056877498,-0.780689874471196,-3.22438442980685,0.00126243801405735,0.00198383116494726,"Full","ROC-AUC","**"
"15","avg_degree",0.0394100519229449,0.0131757073123175,0.0135856655908026,0.0652344382550872,2.99111470745118,0.00277961059677296,0.00407676220860035,"Full","ROC-AUC","**"
"16","deg_assort_oo",0.214756859539632,0.1073216196124,0.00440648509932712,0.425107233979936,2.00105868990089,0.0453860654791051,0.0624058400337695,"Full","ROC-AUC",""
"17","parasitic_removal",-1.27507652281678,0.784856951977465,-2.81339614869261,0.263243103059057,-1.62459734809533,0.104248382575863,0.134909671568764,"Full","ROC-AUC",""
"18","assort_mov",0.602315139157661,0.430328568519278,-0.241128855140125,1.44575913345545,1.39966338100715,0.161614144439096,0.197528398758895,"Full","ROC-AUC",""
"19","clustering_coefficient",-0.255327231991761,0.193574938643445,-0.634734111732913,0.124079647749391,-1.31900975292086,0.187165851942614,0.216718354880921,"Full","ROC-AUC",""
"20","assort_met",0.434209327698888,0.572503112831764,-0.687896773451371,1.55631542884915,0.758440116685417,0.448187549565708,0.493006304522278,"Full","ROC-AUC",""
"21","num_attr",-0.0157148143010933,0.0250165507397522,-0.0647472537510076,0.033317625148821,-0.628176700480211,0.529888191774541,0.555120962811424,"Full","ROC-AUC",""
"22","deg_assort_io",-0.0749532046202952,0.170238364602653,-0.408620399241495,0.258713990000904,-0.440283861955798,0.659731527530629,0.659731527530629,"Full","ROC-AUC",""
"23","modularity",-2.52652611055566,0.271156607076176,-3.05799306042497,-1.99505916068636,-9.31759007386417,0.0000000000000000000119012687857239,0.000000000000000000261827913285926,"Attribute","ROC-AUC","****"
"24","connectance",4.95779182261683,0.610354892407354,3.76149623349842,6.15408741173525,8.12280180644144,0.000000000000000455542895102793,0.00000000000000334064789742049,"Attribute","ROC-AUC","****"
"25","deg_assort_oi",0.600063512152258,0.0738373801145972,0.455342247127647,0.744784777176869,8.12682561625218,0.000000000000000440678642934038,0.00000000000000334064789742049,"Attribute","ROC-AUC","****"
"26","assort_mov",-2.00286848087294,0.319030919926466,-2.62816908392881,-1.37756787781707,-6.27797606995143,0.000000000343008691236219,0.0000000018865478017992,"Attribute","ROC-AUC","****"
"27","deg_assort_ii",-0.523518883039252,0.0946693189878331,-0.709070748255405,-0.337967017823099,-5.52997411026623,0.0000000320278052871985,0.000000140922343263673,"Attribute","ROC-AUC","****"
"28","unclassified_tax_frac",-1.35553804783282,0.249666596570266,-1.84488457711054,-0.866191518555103,-5.42939290419383,0.0000000565460729011655,0.000000198376842371049,"Attribute","ROC-AUC","****"
"29","cannibalistic_removal",-4.17693235798498,0.772114782369562,-5.69027733142932,-2.66358738454064,-5.40972981396145,0.0000000631199043907884,0.000000198376842371049,"Attribute","ROC-AUC","****"
"30","high_tax_frac",-1.2105346675663,0.254356339489999,-1.7090730929667,-0.711996242165903,-4.75920777124526,0.0000019435429178184,0.0000053447430240006,"Attribute","ROC-AUC","****"
"31","avg_degree",0.0360437446825645,0.00940560759160955,0.0176087538030098,0.0544787355621192,3.83215484289585,0.000127025744182887,0.000310507374669279,"Attribute","ROC-AUC","***"
"32","max_log_mass",-0.0631987484469265,0.0168769649735184,-0.0962775997950225,-0.0301198970988304,-3.74467497835609,0.000180627455553251,0.000397380402217151,"Attribute","ROC-AUC","***"
"33","median_log_mass",-0.0432413091326253,0.0120667830034644,-0.0668922038194155,-0.019590414445835,-3.58349935688829,0.000339021599184514,0.000678043198369028,"Attribute","ROC-AUC","***"
