"","feature_name","mean_coef","mean_coef_se","mean_coef_conf_low","mean_coef_conf_high","mean_coef_zvalue","mean_coef_pvalue","p_adjusted","model","metric","significance"
"1","log_num_nodes",3.97279002319734,0.240164845796574,3.50206692543605,4.44351312095862,16.5419298150004,0.000000000000000000000000000000000000000000000000000000000000183062651037952,0.00000000000000000000000000000000000000000000000000000000000402737832283494,"Full","ROC-AUC","****"
"2","avg_degree",0.414722734507222,0.0408672178776635,0.334622987467001,0.494822481547442,10.1480540160257,0.000000000000000000000003380364599996,0.000000000000000000000037184010599956,"Full","ROC-AUC","****"
"3","cannibalistic_removal",-23.5827090843665,3.78525102515611,-31.0018010936725,-16.1636170750606,-6.23015724126089,0.000000000465967246027089,0.00000000341709313753199,"Full","ROC-AUC","****"
"4","max_log_mass",0.209569398771582,0.0341511895237314,0.142633067305068,0.276505730238095,6.13651827928142,0.000000000843496626380258,0.00000000463923144509142,"Full","ROC-AUC","****"
"5","assort_met",-6.58746690327959,1.5656445998074,-9.65613031890209,-3.51880348765708,-4.20751101756424,0.0000258198818608299,0.000113607480187652,"Full","ROC-AUC","***"
"6","clustering_coefficient",3.09185421216505,0.745320138197894,1.63102674129718,4.55268168303292,4.14835726784577,0.0000334869524469725,0.000122785492305566,"Full","ROC-AUC","***"
"7","mass_skewness",-1.72138559834953,0.518279093899215,-2.73721262239199,-0.705558574307072,-3.32134870692715,0.00089583535968923,0.00281548255902329,"Full","ROC-AUC","**"
"8","unclassified_tax_frac",-1.48392864961311,0.455536667005587,-2.37678051694406,-0.591076782282157,-3.25753941909337,0.00112382648385223,0.00309052283059363,"Full","ROC-AUC","**"
"9","num_attr",0.137117644841849,0.056719654974302,0.0259471210922175,0.248288168591481,2.41746260452348,0.0156291398397887,0.0382045640528167,"Full","ROC-AUC","*"
"10","deg_assort_oi",1.14266402402912,0.487941146873007,0.186299376158026,2.09902867190021,2.34180706290489,0.0191906325818388,0.0422193916800453,"Full","ROC-AUC","*"
"11","deg_assort_io",1.33333489133339,0.66662235620824,0.0267550731652453,2.63991470950154,2.00013527736668,0.045485658360742,0.090971316721484,"Full","ROC-AUC",""
"12","high_tax_frac",-2.03261669953833,1.14260910836241,-4.27213055192865,0.206897152851994,-1.77892569266447,0.0752519452342842,0.137961899596188,"Full","ROC-AUC",""
"13","deg_assort_oo",-0.786761408765769,0.534601557161814,-1.83458046080292,0.261057643271386,-1.47167810909992,0.141107821748543,0.238797852189842,"Full","ROC-AUC",""
"14","min_log_mass",-0.0959195630247083,0.0679442877120551,-0.229090366940336,0.0372512408909197,-1.41173844416783,0.158026989188253,0.248328125867254,"Full","ROC-AUC",""
"15","assort_mov",-8.00381407324561,8.87952682248291,-25.4076866453121,9.40005849882088,-0.901378444286019,0.367387138384663,0.535849688710618,"Full","ROC-AUC",""
