"","feature_name","mean_coef","mean_coef_se","mean_coef_conf_low","mean_coef_conf_high","mean_coef_zvalue","mean_coef_pvalue","p_adjusted","model","metric","significance"
"1","modularity",-8.22811045033144,1.00510118579184,-10.1981087744834,-6.25811212617943,-8.18635035620731,0.000000000000000269267108872034,0.00000000000000619314350405678,"Full","ROC-AUC","****"
"2","high_tax_frac",-3.45515705124911,0.619699574072725,-4.66976821643165,-2.24054588606657,-5.57553562372408,0.0000000246769400103357,0.00000028378481011886,"Full","ROC-AUC","****"
"3","deg_assort_oo",2.63985798845573,0.584357452360465,1.49451738182921,3.78519859508224,4.51753969730724,0.00000625623016864888,0.0000479644312929747,"Full","ROC-AUC","****"
"4","avg_degree",0.0821702446120064,0.0192880130385285,0.0443657390564904,0.119974750167522,4.26017156084809,0.0000204270048710522,0.00011745527800855,"Full","ROC-AUC","***"
"5","connectance",6.15499356745148,1.55573179916183,3.1057592410943,9.20422789380866,3.9563333286416,0.0000761089455572909,0.000350101149563538,"Full","ROC-AUC","***"
"6","miss_mass_frac",-1.7196249440383,0.453694401790852,-2.60886597154837,-0.830383916528231,-3.7902714630167,0.000150482732951906,0.000576850476315641,"Full","ROC-AUC","***"
"7","cannibalistic_removal",-12.0017479544962,3.65118346170675,-19.1580675394415,-4.84542836955101,-3.28708433316742,0.00101230513031519,0.00332614542817848,"Full","ROC-AUC","**"
"8","deg_assort_io",-2.0949974023352,0.743595073893905,-3.55244374716725,-0.637551057503143,-2.81739010368176,0.00484156803545076,0.0139195081019209,"Full","ROC-AUC","*"
"9","clustering_coefficient",1.64539313440403,0.854817008937752,-0.0300482031139628,3.32083447192203,1.92484837947796,0.0542483294599141,0.138634619730892,"Full","ROC-AUC",""
"10","median_log_mass",-0.115804117536503,0.0660735451436958,-0.245308266018147,0.0137000309451409,-1.75265482251109,0.0796612748382766,0.183220932128036,"Full","ROC-AUC",""
"11","assort_mass",9.70374587526866,5.69267327619055,-1.45389374606482,20.8613854966021,1.70460263648966,0.0882685593211784,0.1845615331261,"Full","ROC-AUC",""
"12","log_num_nodes",0.606058566635682,0.437389563951218,-0.251224978708706,1.46334211198007,1.3856264908581,0.165860984859185,0.308233462810333,"Full","ROC-AUC",""
"13","assort_met",5.37100600018325,3.95283889666211,-2.37655823727448,13.118570237641,1.35877179429667,0.174218913762362,0.308233462810333,"Full","ROC-AUC",""
"14","deg_assort_oi",0.416217917019572,0.344482573752887,-0.258967927536087,1.09140376157523,1.20824084796273,0.226954633830835,0.372854041293515,"Full","ROC-AUC",""
"15","unclassified_tax_frac",3.70383176589665,3.25975271452755,-2.68528355457735,10.0929470863707,1.1362309016233,0.255859940875006,0.37296939287676,"Full","ROC-AUC",""
"16","mean_log_mass",-0.145216579473711,0.12877514284528,-0.39761585945046,0.107182700503039,-1.12767554564614,0.259456968957746,0.37296939287676,"Full","ROC-AUC",""
"17","parasitic_removal",287.10903675181,281.859224590061,-265.33504344471,839.55311694833,1.01862565317628,0.30838072070353,0.417220975069482,"Full","ROC-AUC",""
"18","num_attr",-0.0536845221096347,0.100050375993447,-0.249783259056791,0.142414214837521,-0.536574916151748,0.591561274658153,0.716100490375658,"Full","ROC-AUC",""
"19","max_log_mass",-0.0520227262406132,0.0939551293639464,-0.236174779793948,0.132129327312722,-0.553697563856221,0.579785842790065,0.716100490375658,"Full","ROC-AUC",""
"20","min_log_mass",-0.0867617183942427,0.195876717678745,-0.470680085044583,0.297156648256097,-0.442940434281422,0.657808819820178,0.756480142793205,"Full","ROC-AUC",""
"21","assort_mov",0.960384571521132,3.3069533678249,-5.52124402941567,7.44201317245793,0.290413702492821,0.771499762133176,0.833682378322252,"Full","ROC-AUC",""
