"","feature_name","mean_coef","mean_coef_se","mean_coef_conf_low","mean_coef_conf_high","mean_coef_zvalue","mean_coef_pvalue","p_adjusted","model","metric","significance"
"1","min_log_mass",-0.296198641817674,0.0176061703227248,-0.330706735650215,-0.261690547985133,-16.8235701682019,0.00000000000000000000000000000000000000000000000000000000000000163972661356773,0.0000000000000000000000000000000000000000000000000000000000000377137121120577,"Full","ROC-AUC","****"
"2","connectance",0.322111414904149,0.0382941995317189,0.24705478382198,0.397168045986318,8.41149361634641,0.0000000000000000404822215497921,0.00000000000000046554554782261,"Full","ROC-AUC","****"
"3","miss_mass_frac",-0.419484000135619,0.0545938455161674,-0.526487937347307,-0.312480062923931,-7.68372325066189,0.0000000000000154530304377215,0.000000000000118473233355865,"Full","ROC-AUC","****"
"4","avg_degree",0.294015962125616,0.0475324304908128,0.200852398363623,0.387179525887609,6.18558653722628,0.000000000618719816979652,0.000000003557638947633,"Full","ROC-AUC","****"
"5","mean_log_mass",-0.21619993819184,0.0619609580803533,-0.337643416029333,-0.0947564603543478,-3.48929301434403,0.000484299962062137,0.00222777982548583,"Full","ROC-AUC","**"
"6","modularity",-0.184599506301415,0.0581420790760097,-0.298557981290395,-0.0706410313124364,-3.17497257124374,0.00149850665241387,0.00574427550091983,"Full","ROC-AUC","**"
"7","clustering_coefficient",0.154522088344516,0.0507943681374445,0.0549651267951244,0.254079049893907,3.04211065144849,0.00234925518121566,0.00771898130970858,"Full","ROC-AUC","**"
"8","parasitic_removal",-0.124180989683143,0.0447182498885589,-0.211828759464718,-0.0365332199015672,-2.77696443829109,0.00548691819076859,0.0157748897984597,"Full","ROC-AUC","*"
"9","log_num_nodes",0.135466677557967,0.059060784604061,0.0197075397340069,0.251225815381926,2.2936823217999,0.0218087529181078,0.0557334796796088,"Full","ROC-AUC",""
"10","max_log_mass",-0.118903455777066,0.0621651844314657,-0.240747217262739,0.00294030570860697,-1.91270172950507,0.055786247665769,0.128308369631269,"Full","ROC-AUC",""
"11","median_log_mass",-0.102844827454844,0.0666913546794299,-0.233559882626527,0.0278702277168384,-1.54210134055899,0.123048969259015,0.257284208450669,"Full","ROC-AUC",""
"12","cannibalistic_removal",-0.0794320815265857,0.06500290079922,-0.206837767093057,0.0479736040398855,-1.22197748946519,0.221716139726159,0.424955934475139,"Full","ROC-AUC",""
"13","assort_mov",0.0700654274323831,0.070263885637238,-0.0676517884166034,0.20778264328137,0.997175530458427,0.318679316095533,0.458101516887328,"Full","ROC-AUC",""
"14","deg_assort_oi",0.0633070072468932,0.0616890433919756,-0.0576035178013789,0.184217532295165,1.02622773455307,0.304784251240397,0.458101516887328,"Full","ROC-AUC",""
"15","deg_assort_ii",-0.0645671617546384,0.0638562914894373,-0.189725493073935,0.0605911695646586,-1.01113234496743,0.311953091305386,0.458101516887328,"Full","ROC-AUC",""
"16","high_tax_frac",-0.0607532534399045,0.0584740868529739,-0.175362463671733,0.0538559567919243,-1.03897737800782,0.298815257363175,0.458101516887328,"Full","ROC-AUC",""
"17","deg_assort_oo",0.0557269206068919,0.0633833716000385,-0.0685044877291836,0.179958328942967,0.879204106694413,0.379290618175308,0.513157895178358,"Full","ROC-AUC",""
"18","num_attr",-0.0542830184564471,0.0683196623265242,-0.188189556616434,0.0796235197035403,-0.794544595332001,0.426878458090934,0.545455807560638,"Full","ROC-AUC",""
"19","assort_met",0.0452079693374644,0.0610231664547601,-0.0743974369138654,0.164813375588794,0.740832899436308,0.458794764575217,0.555383136064737,"Full","ROC-AUC",""
"20","mass_skewness",0.0438341448713441,0.0642190261540586,-0.0820351463906107,0.169703436133299,0.682572556709097,0.494876980207888,0.569108527239071,"Full","ROC-AUC",""
"21","unclassified_tax_frac",-0.0382538281820259,0.0638918782547882,-0.163481909561411,0.0869742531973589,-0.598727557037488,0.549354577671936,0.60167406125974,"Full","ROC-AUC",""
"22","deg_assort_io",0.0123344353573019,0.0628612468183992,-0.11087360840676,0.135542479121364,0.196216842356548,0.844440445998318,0.882824102634605,"Full","ROC-AUC",""
"23","assort_mass",-0.00185192979564405,0.0630378230043828,-0.125406062884234,0.121702203292946,-0.0293780734705144,0.976563060091539,0.976563060091539,"Full","ROC-AUC",""
"24","min_log_mass",-0.186872258157482,0.0126162101925198,-0.211600030134821,-0.162144486180143,-14.8120755207676,0.000000000000000000000000000000000000000000000000122401653894187,0.0000000000000000000000000000000000000000000000028152380395663,"Attribute","ROC-AUC","****"
"25","connectance",0.208839071385402,0.0182331186518628,0.173102158827751,0.244575983943053,11.4538316441036,0.00000000000000000000000000000224976330309636,0.0000000000000000000000000000258722779856081,"Attribute","ROC-AUC","****"
"26","clustering_coefficient",0.196486155250603,0.017410402763941,0.162361765833279,0.230610544667928,11.2855605878084,0.000000000000000000000000000015465247373463,0.000000000000000000000000000118566896529883,"Attribute","ROC-AUC","****"
"27","avg_degree",0.208803048339452,0.0208314082177418,0.167973488232678,0.249632608446226,10.023472544771,0.0000000000000000000000120203786991042,0.000000000000000000000069117177519849,"Attribute","ROC-AUC","****"
"28","parasitic_removal",-0.138099099191868,0.0212452633389675,-0.179739815336244,-0.0964583830474914,-6.50023005074124,0.0000000000801972767701142,0.000000000368907473142525,"Attribute","ROC-AUC","****"
"29","high_tax_frac",-0.149356293558194,0.0240031110861239,-0.196402391286996,-0.102310195829391,-6.22237230091959,0.000000000489693317192987,0.00000000187715771590645,"Attribute","ROC-AUC","****"
