,importance
KNN-out-D4,0.002797202797202747
log_mass_i,0.0006410256410256165
cosine,0.0005827505827505463
ELHN,0.0005244755244755206
manhattan,0.0005244755244754983
dLRA-approx,0.0004662004662004504
dot_product,0.0004079254079253802
KNN-in-D5,0.00034965034965033225
KNN-out-D3,0.0002913752913752399
euclidean,0.0002331002331002141
DSPBCi,0.0002331002331001919
euclidean_num,0.0002331002331001919
KNN-in-D1,0.00017482517482516612
manhattan_num,0.00017482517482514393
ECIj,0.00011655011655009595
ANDIi,0.00011655011655009595
KNN-in-D6,5.8275058275047975e-05
mLRA-approx,5.8275058275047975e-05
met_detritus_j,0.0
met_invertebrate_i,0.0
met_invertebrate_j,0.0
KNN-in-D2,0.0
met_ectotherm_vertebrate_j,0.0
met_primary_producer_j,0.0
KNN-out-D5,0.0
EAA,0.0
ERA,0.0
met_primary_producer_i,0.0
mov_floating_j,0.0
mov_swimming_i,0.0
mov_swimming_j,0.0
mov_other_nonliving_i,0.0
mov_other_nonliving_j,0.0
mov_floating_i,0.0
ECN-score,0.0
log_mass_ratio,0.0
KNN-in-D3,0.0
cosine_num,0.0
hamming,0.0
jaccard_attr,0.0
mass_missing_j,0.0
LNTDi,0.0
ECN,0.0
DCOj,0.0
trophic-i,0.0
trophic-j,0.0
PPRD,0.0
PRDi,0.0
DSPBCj,0.0
LRA,0.0
dLRA,0.0
mLRA,0.0
DSP,0.0
ANDOi,0.0
LCCDj,0.0
ECOi,0.0
ECOj,0.0
DCIi,0.0
EJC,0.0
CCIj,0.0
CCOj,0.0
LCCDi,0.0
KCOj,0.0
KCIi,0.0
KCOi,0.0
LCj,-5.827505827507018e-05
CCIi,-5.827505827507018e-05
mass_missing_i,-5.827505827507018e-05
LCi,-5.827505827507018e-05
CCOi,-5.827505827509239e-05
DCOi,-0.00011655011655014036
KNN-in-D4,-0.00011655011655014036
met_detritus_i,-0.00011655011655014036
ANDOj,-0.00017482517482518832
ECIi,-0.00017482517482521055
LRA-approx,-0.00023310023310025852
KNN-out-D1,-0.00023310023310025852
KNN-out-D2,-0.00023310023310028072
met_ectotherm_vertebrate_i,-0.00034965034965037665
ANDIj,-0.00034965034965037665
KCIj,-0.00034965034965039887
EPA,-0.00040792540792544685
dot_product_num,-0.0004662004662004948
PRDj,-0.0005827505827505908
LNTDj,-0.0006410256410256832
log_mass_j,-0.0006993006993007533
DCIj,-0.0010489510489510856
KNN-out-D6,-0.0011655011655012037
