,importance
KNN-out-D4,0.0979782505717274
KNN-out-D1,0.09668564265229347
KNN-in-D5,0.08799328184002322
KNN-out-D2,0.0709016400570779
KNN-out-D6,0.06487495282662852
KNN-out-D5,0.05733312876481359
DCIj,0.0346897721439006
CCIj,0.030211244613729836
KNN-in-D1,0.027119367915527267
KNN-in-D2,0.02504990442562263
KNN-out-D3,0.024771678755211576
KNN-in-D4,0.02436574831396088
LRA-approx,0.02395954401197534
KCIj,0.02301465691622972
PRDj,0.021925045980033277
log_mass_j,0.019913629314566313
KNN-in-D6,0.014329610352950396
EPA,0.014262634366555976
cosine,0.012248918594252735
trophic-j,0.01166161878756317
manhattan,0.011149470244911586
log_mass_i,0.010081896153340052
euclidean,0.009931621825898069
log_mass_ratio,0.00967737684693142
dot_product,0.008471074863233653
CCOi,0.00831652068449076
manhattan_num,0.0075868772374028635
KNN-in-D3,0.007075992818226392
euclidean_num,0.006968825911481915
ECOi,0.006951117087644288
ANDIj,0.006950067666100827
KCOi,0.006900562980197675
ECIj,0.006520719153729728
ANDOi,0.006428543673483324
dLRA-approx,0.005675892105649614
dot_product_num,0.005149663320479157
ANDOj,0.0049591099507136265
met_detritus_i,0.0049406942519545
LCj,0.004901591023753125
DCOi,0.0048581055589185735
PPRD,0.004847267670919942
mLRA-approx,0.004370627547490518
mass_missing_i,0.0043369816965656
ECOj,0.0040958829934837505
EJC,0.0033585971945450125
ERA,0.0033019762820570863
KCOj,0.0032196148425823663
ECN,0.003110269877764241
met_primary_producer_i,0.002866721965337911
DSPBCj,0.002799347729799878
mov_other_nonliving_i,0.002555460450919472
LNTDj,0.002536884100018943
CCOj,0.002460000594503457
met_primary_producer_j,0.0022933762232785573
EAA,0.002268185322519809
met_ectotherm_vertebrate_j,0.0020646253310051517
ECN-score,0.0017403442387498897
DSPBCi,0.0016136264600819209
LCCDj,0.0014684294480638092
ELHN,0.0014439890234744699
DCIi,0.0013875892949244937
LCi,0.001375992330401007
mLRA,0.0012254290841496355
hamming,0.0011839314174720914
DCOj,0.0010806679087569497
KCIi,0.0009717460670317148
LCCDi,0.0009030011348820209
LNTDi,0.0008162351120270069
ANDIi,0.0007700208601409888
trophic-i,0.0007088874971036361
mov_swimming_j,0.0006409883400593653
mov_swimming_i,0.0006203100959494599
PRDi,0.0005697515246150481
CCIi,0.0005673625345043642
met_invertebrate_i,0.000550690775953922
dLRA,0.0005502751263090216
jaccard_attr,0.00044562037737958454
met_invertebrate_j,0.00043926917505926976
DSP,0.0004233812065715749
mov_floating_j,0.00037563174969819103
ECIi,0.0003567259388828201
mov_floating_i,0.0002687381901539922
met_ectotherm_vertebrate_i,0.00015819465476109185
mass_missing_j,6.187989709595118e-05
mov_other_nonliving_j,9.476149770005189e-06
cosine_num,0.0
LRA,0.0
met_detritus_j,0.0
