,importance
KNN-out-D5,0.09567272451983493
KNN-in-D6,0.09339827990453489
LRA-approx,0.07257058113449107
EPA,0.06541262321822681
KNN-out-D6,0.061833939662035764
ECN-score,0.05172358005804534
CCOj,0.04301857854360477
euclidean,0.03789282440645357
KNN-in-D5,0.03167457184598065
KCOi,0.029900044950028137
DCOi,0.027412627023486427
dLRA-approx,0.027348076149103232
mLRA-approx,0.025293081569441087
manhattan,0.021427250077238155
mLRA,0.0199129312291458
dot_product,0.019093226514892755
PRDj,0.01829060836304666
cosine,0.015008045149965017
trophic-j,0.01398501371866575
DCIj,0.012823997676243702
ECOj,0.01249793035060282
DSP,0.012148491044539385
ERA,0.011788079094159413
euclidean_num,0.011205059873800303
LCCDj,0.009601530942742662
jaccard_attr,0.008252287389750547
ECN,0.008172650712770792
CCIj,0.008080078041982266
KCIj,0.007689671008462934
ANDIj,0.006985114182106472
cosine_num,0.006526415639246304
manhattan_num,0.006232900277134059
DCIi,0.005990266214296524
ANDOj,0.005841392137037246
dLRA,0.00559902307418587
DSPBCj,0.0055970669626033975
ELHN,0.0055780762784900795
EJC,0.005256762613530916
CCOi,0.004741742836477985
pos2_i,0.004286469722654771
hamming,0.004190635715225919
trophic-i,0.004112800107543293
KCOj,0.004108477362347747
PPRD,0.0039481101057834206
dot_product_num,0.0035406704554366555
KNN-out-D2,0.003152348470501748
pos2_ratio,0.003055214131900674
pos3_i,0.003025725976717071
LNTDj,0.002839939163846478
LCj,0.0027483674648245164
pos3_j,0.0025869450422223764
KNN-out-D4,0.002498454151941841
ANDOi,0.0024559320140931126
EAA,0.0024316598214835635
KNN-in-D4,0.0024204738101805848
PRDi,0.002217287005268577
KCIi,0.0020481179750368515
KNN-out-D1,0.0019131780718827786
DCOj,0.0018114363678006311
pos2_j,0.0016993253057037041
ECOi,0.0013989330585316628
LNTDi,0.0013881895549298217
DSPBCi,0.0011553756265421514
ECIi,0.0009329333291026003
CCIi,0.0008252515943100878
ANDIi,0.0008064697613584234
pos3_ratio,0.0005362169167904406
KNN-in-D3,0.00022460635020138837
LCCDi,0.00016331117745278675
pos0_i,0.0
ECIj,0.0
pos0_j,0.0
pos1_j,0.0
KNN-in-D1,0.0
LRA,0.0
KNN-in-D2,0.0
LCi,0.0
KNN-out-D3,0.0
pos1_i,0.0
