,importance
EPA,0.0889259877573734
mLRA-approx,0.0007790762381747474
KNN-in-D2,0.0005564830272676736
ECIj,0.0004451864218141255
KNN-in-D1,0.00033388981636059965
ECIi,0.00027824151363384784
dot_product,0.00027824151363382567
ANDIi,0.00027824151363380344
DSPBCj,0.00016694490818032205
LCj,0.00011129660545354803
pos3_j,5.5648302726774014e-05
cosine,5.564830272675181e-05
ELHN,0.0
pos0_i,0.0
pos0_j,0.0
pos1_j,0.0
DCIi,0.0
LCCDi,0.0
KCIi,0.0
KNN-out-D1,0.0
LRA,0.0
PRDi,0.0
KNN-out-D2,0.0
trophic-i,0.0
jaccard_attr,0.0
pos3_i,-5.564830272675181e-05
dLRA-approx,-5.5648302726774014e-05
dLRA,-5.5648302726774014e-05
LCi,-5.5648302726774014e-05
DSPBCi,-5.5648302726774014e-05
KNN-out-D3,-5.5648302726774014e-05
LCCDj,-5.5648302726774014e-05
manhattan,-0.00011129660545354803
LNTDj,-0.00011129660545354803
LNTDi,-0.00011129660545354803
DCOj,-0.00011129660545354803
cosine_num,-0.00016694490818029982
trophic-j,-0.00016694490818032205
pos1_i,-0.00016694490818032205
ERA,-0.00016694490818032205
dot_product_num,-0.00022259321090705163
pos2_i,-0.00022259321090707386
KNN-in-D3,-0.00027824151363382567
ECN,-0.00027824151363382567
EAA,-0.00027824151363382567
KNN-out-D4,-0.00027824151363384784
hamming,-0.00033388981636059965
pos3_ratio,-0.00033388981636059965
PRDj,-0.00033388981636059965
CCIi,-0.00033388981636059965
KCOj,-0.00033388981636059965
pos2_j,-0.0003895381190873737
KNN-in-D4,-0.0003895381190873959
EJC,-0.0004451864218141255
mLRA,-0.0004451864218141477
euclidean,-0.0006121313299944254
DSP,-0.0006121313299944254
ANDIj,-0.0006121313299944254
PPRD,-0.0007790762381747474
ANDOj,-0.0007790762381747474
euclidean_num,-0.0008347245409014992
ECOj,-0.0008347245409014992
ECOi,-0.0008347245409014992
CCIj,-0.0008347245409014992
pos2_ratio,-0.0008903728436282954
manhattan_num,-0.0010016694490818212
KNN-out-D5,-0.001168614357262099
ECN-score,-0.001168614357262121
DCIj,-0.0012242626599888507
DCOi,-0.0012799109627156468
CCOj,-0.0013912075681691948
ANDOi,-0.0014468558708959467
KCIj,-0.0015025041736226985
CCOi,-0.0017250973845297723
LRA-approx,-0.0018363939899832982
KNN-out-D6,-0.00205898720089035
KNN-in-D6,-0.0022815804117974235
KCOi,-0.002337228714524198
KNN-in-D5,-0.0023928770172509497
